No.,Kanji
1,"③ 丸 • まる.い, まる.める, まる, ガン • round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away"
2,"③ 才 • サイ • genius, years old, cubic shaku"
3,"③ 王 • -ノウ, オウ • king, rule, magnate"
4,"③ 化 • け.する, ふ.ける, ば.かす, ば.ける, ケ, カ • change, take the form of, influence, enchant, delude, -ization"
5,"③ 区 • コウ, オウ, ク • ward, district"
6,"③ 欠 • か.く, か.ける, ケン, ケツ • lack, gap, fail"
7,"③ 戸 • と, コ • door, counter for houses"
8,"③ 太 • ふと.る, ふと.い, タ, タイ • plump, thick, big around"
9,"③ 内 • うち, ダイ, ナイ • inside, within, between, among, house, home"
10,"③ 反 • -かえ.る, かえ.る, かえ.す, そ.らす, そ.る, ホ, タン, ホン, ハン • anti-"
11,"③ 毛 • け, モウ • fur, hair, feather, down"
12,"③ 予 • あらかじ.め, シャ, ヨ • beforehand, previous, myself, I"
13,"③ 央 • オウ • center, middle"
14,"③ 加 • くわ.わる, くわ.える, カ • add, addition, increase, join, include, Canada"
15,"③ 旧 • もと, ふる.い, キュウ • old times, old things, old friend, former, ex-"
16,"③ 玉 • -だま, たま-, たま, ギョク • jewel, ball"
17,"③ 号 • よびな, さけ.ぶ, ゴウ • nickname, number, item, title, pseudonym, name, call"
18,"③ 皿 • さら, ベイ • dish, a helping, plate"
19,"③ 市 • いち, シ • market, city, town"
20,"③ 申 • さる, もう.し-, もう.す, シン • have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac"
21,"③ 石 • いし, コク, シャク, セキ • stone"
22,"③ 他 • ほか, タ • other, another, the others"
23,"③ 打 • ぶ.つ, う.ち-, う.つ, ダアス, ダ • strike, hit, knock, pound, dozen"
24,"③ 犯 • おか.す, ボン, ハン • crime, sin, offense"
25,"③ 皮 • かわ, ヒ • pelt, skin, hide, leather"
26,"③ 氷 • こお.る, ひ, こおり, ヒョウ • icicle, ice, hail, freeze, congeal"
27,"③ 平 • ひら-, ひら, -だいら, たい.ら, ヒョウ, ビョウ, ヘイ • even, flat, peace"
28,"③ 辺 • -べ, ほと.り, あた.り, ヘン • environs, boundary, border, vicinity"
29,"③ 由 • よ.る, よし, ユイ, ユウ, ユ • wherefore, a reason"
30,"③ 礼 • ライ, レイ • salute, bow, ceremony, thanks, remuneration"
31,"③ 羽 • はね, わ, は, ウ • feathers, counter for birds, rabbits"
32,"③ 回 • か.える, もとお.る, -まわ.し, まわ.し-, -まわ.す, まわ.す, -まわ.り, -まわ.る, まわ.る, エ, カイ • -times, round, game, revolve, counter for occurrences"
33,"③ 曲 • ま.げる, ま.がる, キョク • bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean"
34,"③ 血 • ち, ケツ • blood"
35,"③ 交 • こもごも, かわ.す, か.わす, -か.う, ま.ぜる, ま.ざる, まじ.る, ま.じる, まじ.える, まじ.わる, コウ • mingle, mixing, association, coming & going"
36,"③ 光 • ひかり, ひか.る, コウ • ray, light"
37,"③ 向 • むか.い, むこ, む.こう-, む.こう, む.かい, む.かう, -む.け, む.ける, -む.き, む.い, む.く, コウ • yonder, facing, beyond, confront, defy, tend toward, approach"
38,"③ 考 • かんが.え, かんが.える, コウ • consider, think over"
39,"③ 合 • -あ.わせる, あ.わせる, あ.わす, -あい, -あ.い, あい-, あ.い, -あ.う, あ.う, カッ, ガッ, ゴウ • fit, suit, join, one tenth"
40,"③ 糸 • いと, シ • thread"
41,"③ 寺 • てら, ジ • Buddhist temple"
42,"③ 次 • つぎ, つ.ぐ, シ, ジ • next, order, sequence"
43,"③ 耳 • みみ, ジ • ear"
44,"③ 式 • シキ • style, ceremony, rite, function, method, system, form, expression"
45,"③ 守 • かみ, -もり, もり, まも.り, まも.る, ス, シュ • guard, protect, defend, obey"
46,"③ 州 • す, ス, シュウ • state, province"
47,"③ 全 • すべ.て, まった.く, ゼン • whole, entire, all, complete, fulfill"
48,"③ 池 • いけ, チ • pond, cistern, pool, reservoir"
49,"③ 竹 • たけ, チク • bamboo"
50,"③ 虫 • むし, キ, チュウ • insect, bug, temper"
51,"③ 伝 • つて, -づた.い, つだ.う, つた.う, つた.える, つた.わる, テン, デン • transmit, go along, walk along, follow, report, communicate, legend, tradition"
52,"③ 当 • まさ.にべし, まさ.に, あ.て, あ.てる, あ.たり, あ.たる, トウ • hit, right, appropriate, himself"
53,"③ 米 • よね, こめ, メエトル, マイ, ベイ • rice, USA, metre"
54,"③ 両 • ふたつ, てる, リョウ • both, old Japanese coin, counter for carriages (e.g., in a train), two"
55,"③ 列 • レ, レツ • file, row, rank, tier, column"
56,"③ 快 • こころよ.い, カイ • cheerful, pleasant, agreeable, comfortable"
57,"③ 貝 • かい, バイ • shellfish"
58,"③ 角 • つの, かど, カク • angle, corner, square, horn, antlers"
59,"③ 求 • もと.める, グ, キュウ • request, want, wish for, require, demand"
60,"③ 究 • きわ.める, ク, キュウ • research, study"
61,"③ 局 • つぼね, キョク • bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment"
62,"③ 君 • -ぎみ, きみ, クン • old boy, name-suffix"
63,"③ 形 • なり, かたち, -がた, かた, ギョウ, ケイ • shape, form, style"
64,"③ 決 • さ.く, き.まる, -ぎ.め, き.める, ケツ • decide, fix, agree upon, appoint"
65,"③ 坂 • さか, ハン • slope, incline, hill"
66,"③ 助 • すけ, す.ける, たす.かる, たす.ける, ジョ • help, rescue, assist"
67,"③ 身 • み, シン • somebody, person, one's station in life"
68,"③ 声 • こわ-, こえ, ショウ, セイ • voice"
69,"③ 村 • むら, ソン • village, town"
70,"③ 対 • むか.う, なら.ぶ, つれあ.い, そろ.い, こた.える, あいて, ツイ, タイ • vis-a-vis, opposite, even, equal, versus, anti-, compare"
71,"③ 谷 • きわ.まる, たに, コク • valley"
72,"③ 低 • ひく.まる, ひく.める, ひく.い, テイ • lower, short, humble"
73,"③ 投 • -な.げ, な.げる, トウ • throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss"
74,"③ 麦 • むぎ, バク • barley, wheat"
75,"③ 返 • -かえ.る, かえ.る, -かえ.す, かえ.す, ヘン • return, answer, fade, repay"
76,"③ 防 • ふせ.ぐ, ボウ • ward off, defend, protect, resist"
77,"③ 役 • エキ, ヤク • duty, war, campaign, drafted labor, office, service, role"
78,"③ 委 • ゆだ.ねる, イ • committee, entrust to, leave to, devote, discard"
79,"③ 易 • やす.い, やさ.しい, イ, エキ • easy, ready to, simple, fortune-telling, divination"
80,"③ 育 • はぐく.む, そだ.てる, そだ.ち, そだ.つ, イク • bring up, grow up, raise, rear"
81,"③ 泳 • およ.ぐ, エイ • swim"
82,"③ 岸 • きし, ガン • beach"
83,"③ 岩 • いわ, ガン • boulder, rock, cliff"
84,③ 季 • キ • seasons
85,"③ 泣 • な.く, キュウ • cry, weep, moan"
86,"③ 協 • キョウ • co-, cooperation"
87,"③ 苦 • にが.る, にが.い, くる.しめる, くる.しむ, -ぐる.しい, くる.しい, ク • suffering, trial, worry, hardship, feel bitter, scowl"
88,"③ 具 • つぶさ.に, そな.える, グ • tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture"
89,"③ 幸 • しあわ.せ, さち, さいわ.い, コウ • happiness, blessing, fortune"
90,"③ 参 • みつ, まじわる, まい-, まい.る, シン, サン • nonplussed, three, going, coming, visiting, visit, be defeated, die, be madly in love"
91,"③ 実 • みち.る, みの, まことに, まこと, みの.る, み, シツ, ジツ • reality, truth"
92,"③ 取 • -ど.り, とり, と.り-, と.り, と.る, シュ • take, fetch, take up"
93,"③ 受 • う.かる, -う.け, う.ける, ジュ • accept, undergo, answer (phone), take, get, catch, receive"
94,"③ 所 • とこ, どころ, -ところ, ところ, ショ • place"
95,"③ 昔 • むかし, シャク, セキ • once upon a time, antiquity, old times"
96,"③ 直 • す.ぐ, なお.き, なお.る, -なお.す, なお.す, ただ.ちに, ジカ, ジキ, チョク • straightaway, honesty, frankness, fix, repair"
97,"③ 定 • さだ.か, さだ.まる, さだ.める, ジョウ, テイ • determine, fix, establish, decide"
98,"③ 的 • まと, テキ • bull's eye, mark, target, object, adjective ending"
99,"③ 波 • なみ, ハ • waves, billows, Poland"
100,"③ 板 • いた, バン, ハン • plank, board, plate, stage"
101,"③ 表 • あら.わす, あらわ.れる, あらわ.す, -おもて, おもて, ヒョウ • surface, table, chart, diagram"
102,"③ 物 • もの-, もの, モツ, ブツ • thing, object, matter"
103,"③ 放 • ほう.る, こ.く, はな.れる, はな.つ, -っぱな.し, はな.す, ホウ • set free, release, fire, shoot, emit, banish, liberate"
104,"③ 命 • いのち, ミョウ, メイ • fate, command, decree, destiny, life, appoint"
105,"③ 明 • あ.かす, あ.くる, あ.く, -あ.け, あ.ける, あき.らか, あか.らむ, あか.るむ, あか.るい, あ.かり, ミン, ミョウ, メイ • bright, light"
106,"③ 門 • と, かど, モン • gate, counter for cannons"
107,"③ 夜 • よる, よ, ヤ • night, evening"
108,"③ 油 • あぶら, ユウ, ユ • oil, fat"
109,"③ 林 • はやし, リン • grove, forest"
110,"③ 例 • たと.える, レイ • example, custom, usage, precedent"
111,"③ 和 • なご.やか, なご.む, やわ.らげる, やわ.らぐ, カ, オ, ワ • harmony, Japanese style, peace, soften, Japan"
112,"③ 科 • カ • department, course, section"
113,"③ 活 • い.ける, い.かす, い.きる, カツ • lively, resuscitation, being helped, living"
114,"③ 客 • カク, キャク • guest, visitor, customer, client"
115,"③ 逆 • さか.らう, さか.さ, さか, ゲキ, ギャク • inverted, reverse, opposite, wicked"
116,"③ 係 • かか.わる, -がかり, かかり, かか.る, ケイ • person in charge, connection, duty, concern oneself"
117,"③ 型 • -がた, かた, ケイ • mould, type, model"
118,"③ 県 • か.ける, ケン • prefecture"
119,"③ 昨 • サク • yesterday, previous"
120,"③ 指 • -さ.し, さ.す, ゆび, シ • finger, point to, indicate, put into, play (chess), measure (ruler)"
121,"③ 首 • くび, シュ • neck, counter for songs and poems"
122,"③ 拾 • ひろ.う, ジュウ, シュウ • pick up, gather, find, go on foot, ten"
123,"③ 乗 • の.せる, -の.り, の.る, ショウ, ジョウ • ride, power, multiplication, record, counter for vehicles, board, mount, join"
124,"③ 神 • こう-, かん-, かみ, ジン, シン • gods, mind, soul"
125,"③ 星 • -ぼし, ほし, ショウ, セイ • star, spot, dot, mark"
126,"③ 相 • あい-, ショウ, ソウ • inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy"
127,"③ 草 • -ぐさ, くさ-, くさ, ソウ • grass, weeds, herbs, pasture, write, draft"
128,"③ 退 • ど.く, の.ける, の.く, ひ.く, しりぞ.ける, しりぞ.く, タイ • retreat, withdraw, retire, resign, repel, expel, reject"
129,"③ 単 • ひとえ, タン • simple, one, single, merely"
130,"③ 炭 • すみ, タン • charcoal, coal"
131,"③ 柱 • はしら, チュウ • pillar, post, cylinder, support"
132,"③ 追 • お.う, ツイ • chase, drive away, follow, pursue, meanwhile"
133,"③ 点 • ぼち, とも.す, とぼ.す, さ.す, た.てる, つ.く, つ.ける, テン • spot, point, mark, speck, decimal point"
134,"③ 畑 • -ばたけ, はたけ, はた • farm, field, garden, one's specialty, (kokuji)"
135,"③ 飛 • -と.ばす, と.ばす, と.ぶ, ヒ • fly, skip (pages), scatter"
136,"③ 美 • うつく.しい, ミ, ビ • beauty, beautiful"
137,③ 秒 • ビョウ • second (1/60 minute)
138,"③ 負 • お.う, ま.かす, ま.ける, フ • defeat, negative, -, minus, bear, owe, assume a responsibility"
139,"③ 迷 • まよ.う, メイ • astray, be perplexed, in doubt, lost, err, illusion"
140,"③ 面 • つら, おもて, おも, ベン, メン • mask, face, features, surface"
141,"③ 荷 • に, カ • baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight"
142,"③ 記 • しる.す, キ • scribe, account, narrative"
143,"③ 原 • はら, ゲン • meadow, original, primitive, field, plain, prairie, tundra, wilderness"
144,"③ 庫 • くら, ク, コ • warehouse, storehouse"
145,"③ 校 • キョウ, コウ • exam, school, printing, proof, correction"
146,"③ 根 • -ね, ね, コン • root, radical, head (pimple)"
147,"③ 残 • のこ.り, そこな.う, のこ.す, のこ.る, サン, ザン • remainder, leftover, balance"
148,"③ 紙 • かみ, シ • paper"
149,"③ 弱 • よわ.める, よわ.まる, よわ.る, よわ.い, ジャク • weak, frail"
150,"③ 酒 • さか-, さけ, シュ • sake, alcohol"
151,"③ 消 • け.す, き.える, ショウ • extinguish, blow out, turn off, neutralize, cancel"
152,"③ 息 • いき, ソク • breath, respiration, son, interest (on money)"
153,"③ 速 • すみ.やか, はや.める, はや-, はや.い, ソク • quick, fast"
154,"③ 帯 • おび, お.びる, タイ • sash, belt, obi, zone, region"
155,"③ 通 • かよ.う, -どお.し, とお.し, とお.す, -どお.り, -とお.り, とお.り, とお.る, ツ, ツウ • traffic, pass through, avenue, commute, counter for letters, notes, documents, etc."
156,"③ 庭 • にわ, テイ • courtyard, garden, yard"
157,"③ 島 • しま, トウ • island"
158,"③ 能 • よ.く, ノウ • ability, talent, skill, capacity"
159,"③ 馬 • ま, うま-, うま, バ • horse"
160,"③ 配 • くば.る, ハイ • distribute, spouse, exile, rationing"
161,"③ 倍 • バイ • double, twice, times, fold"
162,"③ 流 • -なが.す, なが.す, なが.れ, なが.れる, ル, リュウ • current, a sink, flow, forfeit"
163,"③ 留 • るうぶる, とど.まる, とど.める, と.まる, と.める, ル, リュウ • detain, fasten, halt, stop"
164,"③ 黄 • こ-, き, オウ, コウ • yellow"
165,"③ 球 • たま, キュウ • ball, sphere"
166,"③ 教 • おそ.わる, おし.える, キョウ • teach, faith, doctrine"
167,"③ 混 • こ.む, ま.ぜる, ま.ざる, -ま.じり, ま.じる, コン • mix, blend, confuse"
168,"③ 祭 • まつり, まつ.り, まつ.る, サイ • ritual, offer prayers, celebrate, deify, enshrine, worship"
169,"③ 細 • こま.かい, こま.か, ほそ.る, ほそ.い, サイ • dainty, get thin, taper, slender, narrow"
170,"③ 終 • つい.に, つい, お.える, おわ.る, -お.わる, お.わる, シュウ • end, finish"
171,"③ 宿 • やど.す, やど.る, やど, シュク • inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling"
172,"③ 術 • すべ, ジュツ • art, technique, skill, means, trick, resources, magic"
173,"③ 商 • あきな.う, ショウ • make a deal, selling, dealing in, merchant"
174,"③ 章 • ショウ • badge, chapter, composition, poem, design"
175,"③ 常 • とこ-, つね, ジョウ • usual, ordinary, normal, regular"
176,"③ 情 • なさ.け, セイ, ジョウ • feelings, emotion, passion, sympathy, circumstances, facts"
177,"③ 深 • み-, ふか.める, ふか.まる, -ぶか.い, ふか.い, シン • deep, heighten, intensify, strengthen"
178,"③ 進 • すす.める, すす.む, シン • advance, proceed, progress, promote"
179,"③ 清 • きよ.める, きよ.まる, きよ.い, シン, ショウ, セイ • pure, purify, cleanse, exorcise, Manchu dynasty"
