Interrogative,Indefinite,Negative,Distributive
"**dare**,          **donata**           *who?*","**dare ka**,           **donata ka**           *someone*","**dare mo**,           **donata mo**           *no one, not anyone*","**dare demo**,          **donata demo**           *anyone, no matter who*"
**dou**              *how?*,**dou**              *how?*,**dou**              *how?*,**dou**              *how?*
**dochira**     *where?                   in what direction?*,**dochira**     *where?                   in what direction?*,**dochira**     *where?                   in what direction?*,**dochira**     *where?                   in what direction?*
**doko**       *where?*,**doko**       *where?*,**doko**       *where?*,**doko**       *where?*
**donna[+Noun]**             *what kind of…?*,**donna[+Noun]**             *what kind of…?*,**donna[+Noun]**             *what kind of…?*,**donna[+Noun]**             *what kind of…?*
**dono[+Noun]** *which…?*,**dono[+Noun]** *which…?*,**dono[+Noun]** *which…?*,**dono[+Noun]** *which…?*
**dore**          *which one?*,**dore**          *which one?*,**dore**          *which one?*,**dore**          *which one?*
**ikura**            *how much?*,**ikura**            *how much?*,**ikura**            *how much?*,**ikura**            *how much?*
**Ikutsu**          *How many?*,**Ikutsu**          *How many?*,**Ikutsu**          *How many?*,**Ikutsu**          *How many?*
**Itsu**          *When?*,**Itsu**          *When?*,**Itsu**          *When?*,**Itsu**          *When?*
"**nan, nani**      *What?*","**nan, nani**      *What?*","**nan, nani**      *What?*","**nan, nani**      *What?*"
**nan[+Counter]**       *How many?*,**nan[+Counter]**       *How many?*,**nan[+Counter]**       *How many?*,**nan[+Counter]**       *How many?*
