Frequency ranking,Lexeme,Standard Orthography (in newspapers),Standard Reading (in Hiragana),Meaning
25,様,よう,よう,
225,可能,可能,かのう,
307,どんな,どんな,どんな,
318,好き,好き,すき,
326,みたい,みたい,みたい,
357,確か,確か,たしか,
403,重要,重要,じゅうよう,
472,十分,十分,じゅうぶん,
525,様々,さまざま,さまざま,
530,嫌,いや,いや,
557,大変,大変,たいへん,
572,簡単,簡単,かんたん,
609,明らか,明らか,あきらか,
625,非常,非常,ひじょう,
646,大切,大切,たいせつ,
711,同様,同様,どうよう,
771,完全,完全,かんぜん,
790,大丈夫,大丈夫,だいじょうぶ,
804,奇麗,きれい,きれい,
831,特別,特別,とくべつ,
939,大事,大事,だいじ,
998,有名,有名,ゆうめい,
1037,新た,新た,あらた,
1222,相当,相当,そうとう,
1295,静か,静か,しずか,
1367,如何,いかが,いかが,
1423,豊か,豊か,ゆたか,
1581,明確,明確,めいかく,
1628,有効,有効,ゆうこう,
1685,遥か,はるか,はるか,
1707,流石,さすが,さすが,
1728,単純,単純,たんじゅん,
1732,確実,確実,かくじつ,
1735,残念,残念,ざんねん,
1821,巨大,巨大,きょだい,
1838,意外,意外,いがい,
1840,立派,立派,りっぱ,
1926,特殊,特殊,とくしゅ,
1930,見事,見事,みごと,
1977,多様,多様,たよう,
1991,高度,高度,こうど,
1993,当たり前,当たり前,あたりまえ,
2013,容易,容易,ようい,
2128,懸命,懸命,けんめい,
2181,適切,適切,てきせつ,
2205,上手,上手,じょうず,
2231,同一,同一,どういつ,
2243,独自,独自,どくじ,
2452,大好き,大好き,だいすき,
2459,真面目,まじめ,まじめ,
2516,必死,必死,ひっし,
2522,素直,素直,すなお,
2575,丁寧,ていねい,ていねい,
2577,幼稚,幼稚,ようち,
2588,主要,主要,しゅよう,
2631,盛ん,盛ん,さかん,
2715,余計,余計,よけい,
2730,直,直,ちょく,
2798,重大,重大,じゅうだい,
2805,急速,急速,きゅうそく,
2810,曖昧,あいまい,あいまい,
2848,正式,正式,せいしき,
2869,奇妙,奇妙,きみょう,
2892,知的,知的,ちてき,
2896,微か,かすか,かすか,
2932,真っ直ぐ,まっすぐ,まっすぐ,
2952,深刻,深刻,しんこく,
2982,貴重,貴重,きちょう,
3016,微妙,微妙,びみょう,
3041,有力,有力,ゆうりょく,
3072,可哀想,かわいそう,かわいそう,
3117,純粋,純粋,じゅんすい,
3124,新規,新規,しんき,
3134,穏やか,穏やか,おだやか,
3134,公的,公的,こうてき,
3161,熱心,熱心,ねっしん,
3161,素敵,すてき,すてき,
3170,強力,強力,きょうりょく,
3182,法的,法的,ほうてき,
3209,密か,ひそか,ひそか,
3292,透明,透明,とうめい,
3292,独特,独特,どくとく,
3301,高等,高等,こうとう,
3350,不可欠,不可欠,ふかけつ,
3404,身近,身近,みぢか,
3433,豊富,豊富,ほうふ,
3446,有利,有利,ゆうり,
3465,優秀,優秀,ゆうしゅう,
3538,稀,まれ,まれ,
3626,活発,活発,かっぱつ,
3692,夢中,夢中,むちゅう,
3726,頻繁,ひんぱん,ひんぱん,
3736,不要,不要,ふよう,
3812,大幅,大幅,おおはば,
3877,滅多,めった,めった,
4035,偉大,偉大,いだい,
4051,フル,フル,ふる,
4150,強烈,強烈,きょうれつ,
4193,増し,増し,まし,
4270,真っ赤,真っ赤,まっか,
4350,鮮やか,あざやか,あざやか,
4385,新鮮,新鮮,しんせん,
4385,不当,不当,ふとう,
4474,急激,急激,きゅうげき,
4479,私的,私的,してき,
4505,肝心,肝心,かんじん,
4528,特有,特有,とくゆう,
4537,グローバル,グローバル,ぐろーばる,
4547,単独,単独,たんどく,
4636,無数,無数,むすう,
4724,適正,適正,てきせい,
4758,巧み,巧み,たくみ,
4784,ばらばら,ばらばら,ばらばら,
4784,気の毒,気の毒,きのどく,
4796,早め,早め,はやめ,
4844,広大,広大,こうだい,
4880,順調,順調,じゅんちょう,
4935,最適,最適,さいてき,
4935,不法,不法,ふほう,
4958,厳密,厳密,げんみつ,
5007,大胆,大胆,だいたん,
5049,異様,異様,いよう,
5055,柔軟,柔軟,じゅうなん,
5055,性的,性的,せいてき,
5086,健全,健全,けんぜん,
5125,俄か,にわか,にわか,
5280,強引,強引,ごういん,
5298,華やか,華やか,はなやか,
5308,別々,別々,べつべつ,
5308,顕著,顕著,けんちょ,
5308,的確,的確,てきかく,
5369,スムーズ,スムーズ,すむーず,
5427,丈夫,丈夫,じょうぶ,
5427,密接,密接,みっせつ,
5466,迅速,迅速,じんそく,
5522,シンプル,シンプル,しんぷる,
5535,忠実,忠実,ちゅうじつ,
5546,大袈裟,大げさ,おおげさ,
5705,緩やか,ゆるやか,ゆるやか,
5737,無縁,無縁,むえん,
5900,率直,率直,そっちょく,
5914,賑やか,にぎやか,にぎやか,
5961,漠然,漠然,ばくぜん,
6031,明白,明白,めいはく,
6133,爽やか,さわやか,さわやか,
6209,温暖,温暖,おんだん,
6347,愚か,愚か,おろか,
6401,人的,人的,じんてき,
6438,真っ白,真っ白,まっしろ,
6449,対等,対等,たいとう,
6482,前向き,前向き,まえむき,
6535,露わ,あらわ,あらわ,
6535,有害,有害,ゆうがい,
6584,惨め,みじめ,みじめ,
6685,間近,間近,まぢか,
6712,過激,過激,かげき,
6735,器用,器用,きよう,
6778,速やか,速やか,すみやか,
6789,気楽,気楽,きらく,
6789,ビッグ,ビッグ,びっぐ,
6812,無難,無難,ぶなん,
6839,柔らか,柔らか,やわらか,
6859,安易,安易,あんい,
6859,陽気,陽気,ようき,
6878,著名,著名,ちょめい,
6901,気軽,気軽,きがる,
6957,猛烈,猛烈,もうれつ,
6957,自在,自在,じざい,
6997,然様,さよう,さよう,
7009,呆然,ぼう然,ぼうぜん,
7049,簡易,簡易,かんい,
7095,真っ暗,真っ暗,まっくら,
7112,上品,上品,じょうひん,
7132,鮮明,鮮明,せんめい,
7132,同等,同等,どうとう,
7155,明瞭,明瞭,めいりょう,
7170,密,密,みつ,
7356,厳格,厳格,げんかく,
7356,真っ黒,真っ黒,まっくろ,
7455,端的,端的,たんてき,
7504,粗末,粗末,そまつ,
7597,執拗,執拗,しつよう,
7692,ぼろぼろ,ぼろぼろ,ぼろぼろ,
7753,滑らか,滑らか,なめらか,
7769,平ら,平ら,たいら,
7795,未熟,未熟,みじゅく,
7821,切,切,せつ,
7821,内的,内的,ないてき,
7821,モダン,モダン,もだん,
7847,良好,良好,りょうこう,
7973,一様,一様,いちよう,
7998,平然,平然,へいぜん,
8074,細やか,ささやか,ささやか,
8165,安価,安価,あんか,
8165,尋常,尋常,じんじょう,
8193,頑固,頑固,がんこ,
8219,厳重,厳重,げんじゅう,
8219,過度,過度,かど,
8219,円滑,円滑,えんかつ,
8245,壮大,壮大,そうだい,
8245,淡々,淡々,たんたん,
8279,格別,格別,かくべつ,
8279,外的,外的,がいてき,
8481,広範,広範,こうはん,
8515,ユニーク,ユニーク,ゆにーく,
8515,猥褻,わいせつ,わいせつ,
8552,劇的,劇的,げきてき,
8552,公然,公然,こうぜん,
8585,適度,適度,てきど,
8585,ドライ,ドライ,どらい,
8611,ハッピー,ハッピー,はっぴー,
8644,単一,単一,たんいつ,
8734,巧妙,巧妙,こうみょう,
8734,手軽,手軽,てがる,
8734,スロー,スロー,すろー,
8802,深々,深々,ふかぶか,
8855,露骨,露骨,ろこつ,
8918,抜群,抜群,ばつぐん,
8918,定か,定か,さだか,
8980,控えめ,ひかえめ,ひかえめ,
9065,明快,明快,めいかい,
9065,多彩,多彩,たさい,
9098,希薄,希薄,きはく,
9180,旺盛,旺盛,おうせい,
9180,巨額,巨額,きょがく,
9289,存分,存分,ぞんぶん,
9327,着実,着実,ちゃくじつ,
9369,細か,細か,こまか,
9369,多大,多大,ただい,
9369,良質,良質,りょうしつ,
9369,唐突,唐突,とうとつ,
9481,クール,クール,くーる,
9481,質的,質的,しつてき,
9548,大まか,大まか,おおまか,
9586,強硬,強硬,きょうこう,
9626,無残,無残,むざん,
9708,裕福,裕福,ゆうふく,
9708,大嫌い,大嫌い,だいきらい,
9708,愕然,がく然,がくぜん,
9786,謙虚,謙虚,けんきょ,
9821,濃厚,濃厚,のうこう,
9821,強固,強固,きょうこ,
9863,暢気,のんき,のんき,
10007,悪質,悪質,あくしつ,
10007,ロマンチック,ロマンチック,ろまんちっく,
10055,不可解,不可解,ふかかい,
10093,パブリック,パブリック,ぱぶりっく,
10093,大きめ,大き目,おおきめ,
10194,あからさま,あからさま,あからさま,
10240,まめ,まめ,まめ,
10284,窮屈,窮屈,きゅうくつ,
