Freq. Rank,Lexeme,Standard Orthography,Standard Reading
24,無い,ない,ない
45,良い,よい,よい
139,多い,多い,おおい
218,高い,高い,たかい
227,大きい,大きい,おおきい
245,悪い,悪い,わるい
265,強い,強い,つよい
294,少ない,少ない,すくない
305,長い,長い,ながい
343,新しい,新しい,あたらしい
369,早い,早い,はやい
381,甘い,甘い,あまい
383,若い,若い,わかい
389,欲しい,欲しい,ほしい
402,深い,深い,ふかい
625,近い,近い,ちかい
630,小さい,小さい,ちいさい
649,難しい,難しい,むずかしい
651,凄い,すごい,すごい
685,面白い,面白い,おもしろい
700,広い,広い,ひろい
755,美しい,美しい,うつくしい
777,白い,白い,しろい
781,低い,低い,ひくい
820,楽しい,楽しい,たのしい
838,嬉しい,うれしい,うれしい
839,酷い,ひどい,ひどい
846,古い,古い,ふるい
861,安い,やすい,やすい
896,美味しい,おいしい,おいしい
897,正しい,正しい,ただしい
918,詳しい,詳しい,くわしい
931,激しい,激しい,はげしい
956,怖い,怖い,こわい
974,厳しい,厳しい,きびしい
1005,辛い,辛い,つらい
1032,軽い,軽い,かるい
1054,優しい,やさしい,やさしい
1110,可愛い,かわいい,かわいい
1123,重い,重い,おもい
1141,可笑しい,おかしい,おかしい
1244,明るい,明るい,あかるい
1254,痛い,痛い,いたい
1268,赤い,赤い,あかい
1297,短い,短い,みじかい
1362,暗い,暗い,くらい
1370,遅い,遅い,おそい
1400,弱い,弱い,よわい
1442,黒い,黒い,くろい
1460,遠い,遠い,とおい
1473,薄い,薄い,うすい
1568,狭い,狭い,せまい
1578,素晴らしい,素晴らしい,すばらしい
1665,珍しい,珍しい,めずらしい
1691,寂しい,寂しい,さびしい
1709,冷たい,冷たい,つめたい
1709,寒い,寒い,さむい
1814,恐ろしい,恐ろしい,おそろしい
1934,忙しい,忙しい,いそがしい
1997,細い,細い,ほそい
2000,恥ずかしい,恥ずかしい,はずかしい
2048,悲しい,悲しい,かなしい
2054,宜しい,よろしい,よろしい
2118,濃い,濃い,こい
2132,苦しい,苦しい,くるしい
2167,熱い,熱い,あつい
2234,細かい,細かい,こまかい
2268,太い,太い,ふとい
2300,偉い,偉い,えらい
2335,速い,早い,はやい
2351,鋭い,鋭い,するどい
2366,青い,青い,あおい
2423,仕方無い,仕方ない,しかたない
2425,厚い,厚い,あつい
2457,親しい,親しい,したしい
2520,暑い,暑い,あつい
2524,幼い,幼い,おさない
2533,相応しい,ふさわしい,ふさわしい
2607,久しい,久しい,ひさしい
2743,有り難い,ありがたい,ありがたい
2788,固い,固い,かたい
2942,物凄い,ものすごい,ものすごい
2975,懐かしい,懐かしい,なつかしい
3009,丸い,丸い,まるい
3072,貧しい,貧しい,まずしい
3080,硬い,硬い,かたい
3086,著しい,著しい,いちじるしい
3121,きつい,きつい,きつい
3124,怪しい,怪しい,あやしい
3170,煩い,うるさい,うるさい
3206,不味い,まずい,まずい
