Freq. Rank,Lexeme,Standard Orthography,Standard Reading
50,そう,そう,そう
69,どう,どう,どう
129,もう,もう,もう
149,こう,こう,こう
164,良く,よく,よく
199,未だ,まだ,まだ
213,少し,少し,すこし
229,余り,あまり,あまり
247,直ぐ,すぐ,すぐ
250,唯,ただ,ただ
268,矢張り,やはり,やはり
280,何故,なぜ,なぜ
282,先ず,まず,まず
286,例えば,例えば,たとえば
292,詰まり,つまり,つまり
299,全く,全く,まったく
309,一寸,ちょっと,ちょっと
327,若し,もし,もし
335,特に,特に,とくに
349,勿論,もちろん,もちろん
350,既に,すでに,すでに
353,一番,一番,いちばん
396,初めて,初めて,はじめて
411,可成,かなり,かなり
420,色々,いろいろ,いろいろ
438,最も,最も,もっとも
445,迚も,とても,とても
474,もっと,もっと,もっと
494,必ず,必ず,かならず
546,沢山,たくさん,たくさん
552,当然,当然,とうぜん
606,猶,なお,なお
655,幾ら,いくら,いくら
657,はっきり,はっきり,はっきり
660,ずっと,ずっと,ずっと
688,直接,直接,ちょくせつ
721,暫く,しばらく,しばらく
731,まあ,まあ,まあ
753,中々,なかなか,なかなか
793,決して,決して,けっして
799,軈て,やがて,やがて
807,如何に,いかに,いかに
812,寧ろ,むしろ,むしろ
855,丸で,まるで,まるで
863,一杯,いっぱい,いっぱい
871,恐らく,おそらく,おそらく
872,結構,結構,けっこう
874,嘗て,かつて,かつて
900,再び,再び,ふたたび
926,略,略,りゃく
949,多分,たぶん,たぶん
972,僅か,わずか,わずか
978,正に,まさに,まさに
992,兎に角,とにかく,とにかく
1000,確り,しっかり,しっかり
1017,極めて,極めて,きわめて
1030,急度,きっと,きっと
1044,ゆっくり,ゆっくり,ゆっくり
1090,元々,もともと,もともと
1118,突然,突然,とつぜん
1149,ちゃんと,ちゃんと,ちゃんと
1167,宜しく,よろしく,よろしく
1204,丁度,ちょうど,ちょうど
1245,漸く,ようやく,ようやく
1269,きちんと,きちんと,きちんと
1379,遂に,ついに,ついに
1451,仮令,たとえ,たとえ
1500,漸と,やっと,やっと
1585,是非,ぜひ,ぜひ
1595,全然,全然,ぜんぜん
1597,随分,ずいぶん,ずいぶん
1633,飽くまで,あくまで,あくまで
1636,すっかり,すっかり,すっかり
1642,どんどん,どんどん,どんどん
1659,改めて,改めて,あらためて
1674,じっと,じっと,じっと
1681,極く,ごく,ごく
1716,単に,単に,たんに
1724,行成,いきなり,いきなり
1771,やや,やや,やや
1807,言わば,いわば,いわば
1807,つい,つい,つい
1833,益々,ますます,ますます
1837,取り敢えず,とりあえず,とりあえず
1844,次々,次々,つぎつぎ
1851,最早,もはや,もはや
1873,兎も角,ともかく,ともかく
1914,屡,しばしば,しばしば
1937,一層,一層,いっそう
1953,ふと,ふと,ふと
1978,一旦,いったん,いったん
2007,大抵,たいてい,たいてい
2098,成る程,なるほど,なるほど
2112,どうぞ,どうぞ,どうぞ
2128,同じく,同じく,おなじく
2167,愈,いよいよ,いよいよ
2251,偶に,たまに,たまに
2265,段々,だんだん,だんだん
2283,却って,かえって,かえって
2288,まさか,まさか,まさか
2351,折角,せっかく,せっかく
2411,態々,わざわざ,わざわざ
2431,無論,むろん,むろん
2468,大いに,大いに,おおいに
2516,余程,よほど,よほど
2578,幸い,幸い,さいわい
2607,偶々,たまたま,たまたま
2632,忽ち,たちまち,たちまち
2652,取り分け,とりわけ,とりわけ
2652,そっと,そっと,そっと
2664,敢えて,あえて,あえて
2699,直ちに,直ちに,ただちに
2713,そろそろ,そろそろ,そろそろ
2764,未だ未だ,まだまだ,まだまだ
2790,主に,主に,おもに
2856,早速,さっそく,さっそく
2863,凡そ,およそ,およそ
2863,予め,あらかじめ,あらかじめ
2892,果たして,果たして,はたして
