Freq. Rank,Lexeme,Standard Orthography,Standard Reading
5,だ,だ,だ
6,た,た,た
15,ます,ます,ます
16,です,です,です
20,ない,ない,ない
22,れる,れる,れる
28,ず,ず,ず
52,られる,られる,られる
72,てる,てる,てる
74,せる,せる,せる
82,たい,たい,たい
165,べし,べし,べし
271,り,り,り
427,なり■断定,なり,なり
520,ちゃう,ちゃう,ちゃう
734,たり■断定,たり,たり
738,させる,させる,させる
1068,まい,まい,まい
1108,じゃ,じゃ,じゃ
1153,ごとし,ごとし,ごとし
2025,き,き,き
2357,とく,とく,とく
2625,む,む,む
2787,たがる,たがる,たがる
2942,しめる,しめる,しめる
3165,はる,はる,はる
3215,つう,つう,つう
3246,てく,てく,てく
3412,とる,とる,とる
3592,ちまう,ちまう,ちまう
3605,やがる,やがる,やがる
4601,じ,じ,じ
5973,へん,へん,へん
6133,ねん,ねん,ねん
6347,まじ,まじ,まじ
6504,てらっしゃる,てらっしゃる,てらっしゃる
6918,けり,けり,けり
7245,らし,らし,らしい
7260,どす,どす,どす
7821,やす,やす,やす
12751,たげる,たげる,たげる
12907,しゃる,しゃる,しゃる
13226,ぬ,ぬ,ぬ
14814,よる,よる,よる
16348,なんだ,なんだ,なんだ
19898,らむ,らむ,らむ
20527,ちゃる,ちゃる,ちゃる
20744,んす,んす,んす
21439,たり■完了,たり,たり
21439,たる,たる,たる
31891,ざんす,,
35236,そろ,ソロ,そろ
37694,非ず,,
38630,けむ,,
43022,ざます,,
