Freq. Rank,Lexeme,Standard Orthography,Standard Reading
26,其の,その,その
33,此の,この,この
136,同じ,同じ,おなじ
157,そんな,そんな,そんな
253,こんな,こんな,こんな
254,大きな,大きな,おおきな
259,何の,どの,どの
313,彼の,あの,あの
319,或る,ある,ある
560,小さな,小さな,ちいさな
567,我が,わが,わが
968,所謂,いわゆる,いわゆる
1400,あらゆる,あらゆる,あらゆる
1573,あんな,あんな,あんな
1797,色んな,いろんな,いろんな
2087,単なる,単なる,たんなる
2235,本の,ほんの,ほんの
2585,如何なる,いかなる,いかなる
2919,大した,たいした,たいした
3465,主な,主な,おもな
5034,可笑しな,おかしな,おかしな
8424,然る,しかる,しかる
8644,更なる,さらなる,さらなる
9481,大いなる,大いなる,おおいなる
10324,碌な,ろくな,ろくな
11528,とある,とある,とある
13391,とんだ,とんだ,とんだ
13980,斯かる,かかる,かかる
18778,然したる,さしたる,さしたる
22407,そ知らぬ,そ知らぬ,そしらぬ
24717,己が,己が,おのが
25068,如何な,いかな,いかな
25429,名だたる,名だたる,なだたる
25429,大それた,大それた,だいそれた
27350,確たる,確たる,かくたる
28688,何たる,何たる,なんたる
30722,ひょんな,ひょんな,ひょんな
31891,無理からぬ,無理からぬ,むりからぬ
40698,目眩く,めくるめく,めくるめく
40698,異な,稲,いな
73941,こげん,こげん,こげん
73941,奇しき,,
