Freq. Rank,Lexeme,Standard Orthography,Standard Reading
431,否,いや,いや
455,あの,あの,あの
659,ああ,ああ,ああ
903,はい,はい,はい
991,あっ,あっ,あー
1234,うん,うん,うん
1341,ええ,ええ,ええ
1430,さあ,さあ,さあ
1548,有り難う,ありがとう,ありがとう
2903,いえ,いえ,いえ
2921,ねえ,ねえ,ねえ
3075,へー,へー,へー
3080,ほら,ほら,ほら
3270,いいえ,いいえ,いいえ
3311,よし,よし,よし
3361,はー,はー,はー
3376,あら,あら,あら
3461,おい,おい,おい
3483,いざ,いざ,いざ
3626,えっ,えっ,えー
4015,ほー,ほー,ほー
4164,わー,わー,わー
4450,なあ,なあ,な
4891,おお,おお,おお
4901,あれ,あれ,あれ
4949,ふん,ふん,ふん
5914,おや,おや,おや
6281,うむ,うむ,うむ
6685,いや,いや,いや
6758,然う然う,そうそう,そうそう
7289,さようなら,さようなら,さようなら
7382,今日は,こんにちは,こんにちは
7544,おう,おう,おう
7577,ははは,ハハハ,ははは
7821,御早う,おはよう,おはよう
7973,やあ,やあ,やあ
8710,えい,えい,えい
8948,はっ,はっ,はっ
9259,うわー,うわー,うわー
9894,こら,こら,これは
10007,ふむ,ふむ,ふむ
10324,ううん,ううん,ううん
10915,やれやれ,やれやれ,やれやれ
11078,もしもし,もしもし,もしもし
11642,はあ,はあ,はー
12009,へい,へい,へい
12285,やい,やい,やい
12470,ぎゃあ,ぎゃあ,ぎゃあ
12685,今晩は,こんばんは,こんばんは
12685,くそ,くそ,くそ
12907,しい,しい,しい
13226,おーい,おーい,おーい
13540,はは,はは,はは
13639,はて,はて,はて
14244,おっと,おっと,おっと
14547,ひー,ひー,ひと
15468,ほれ,ほれ,ほれ
15574,ふふ,ふふ,ふふ
15963,さらば,さらば,さらば
17145,あい,あい,あい
17493,あはは,あはは,あはは
17632,やれ,やれ,やれ
17942,ははあ,ははあ,ははあ
18601,ふふふ,ふふふ,ふふふ
19690,そら,そら,そら
20527,けしからん,けしからん,けしからん
20979,きゃっ,きゃっ,きゃっ
21214,きゃー,きゃー,きゃー
21439,く,く,く
22407,いやはや,いやはや,いやはや
22936,よう,よう,よう
22936,よいしょ,よいしょ,よいしょ
23216,ありゃ,ありゃ,ありゃ
23772,あははは,あははは,あははは
24387,げっ,げっ,げっ
25068,もー,もー,もー
25068,あう,会う,あう
26939,うおー,,
27350,ひゃー,,
27798,ふー,フー,ふー
28688,ぷっ,,
29169,ふぇ,,
30141,しめた,しめた,しめた
30141,あいた,愛田,あいた
30141,はははは,,
30722,ほほう,ほほう,ほほう
31286,初めまして,初めまして,はじめまして
31891,かあ,かあ,かあ
33119,ぶー,ブー,ぶー
34516,よっしゃ,,
35236,どっこい,どっこい,どっこい
36042,大きに,大きに,おおきに
37694,うい,初,うい
37694,わっしょい,わっしょい,わっしょい
38630,わーい,,
38630,むむ,,
38630,おす,押す,おす
38630,ふんふん,,
39617,いで,出,いで
39617,ちぇっ,,
40698,さてさて,さてさて,さてさて
40698,ふむふむ,,
40698,ちぇ,ちぇ,ちぇ
40698,とほほ,とほほ,とほほ
41842,どれどれ,,
41842,けー,,
41842,がーん,ガーン,がーん
43022,ひひひ,,
44338,やんや,,
44338,すわ,諏訪,すわ
44338,もとい,もとい,もとい
44338,うぐ,宇久,うぐ
45806,すん,寸,すん
47471,よっこらしょ,よっこらしょ,よっこらしょ
47471,ほい,補遺,ほい
47471,ふふん,ふふん,ふふん
49232,えへ,,
49232,ふあ,,
51227,ららら,,
53646,ひやー,,
56342,やった,,
56342,あちゃー,,
56342,てやんでえ,,
56342,しめしめ,しめしめ,しめしめ
56342,どっこいしょ,どっこいしょ,どっこいしょ
56342,ぶぶ,,
56342,へへへへ,,
56342,わーん,,
59421,こけこっこ,,
59421,咄,＊,とつ
59421,あかんべ,あかんべ,あかんべ
59421,あばよ,あばよ,あばよ
59421,わはははは,,
59421,やーい,,
63094,ようい,用意,ようい
63094,ふう,風,ふう
63094,あわわ,,
67760,かっこう,格好,かっこう
67760,わっせ,,
73941,こらこら,,
73941,さいさい,歳歳,さいさい
73941,ばーばー,バーバー,ばーばー
73941,ははん,,
73941,ひょー,,
82574,そうらん,騒乱,そうらん
82574,ほうい,包囲,ほうい
