Frequency ranking,Lexeme,Standard Orthography (in newspapers),Standard Reading (in Hiragana),Meaning
19,事,こと,こと,
27,一,一,いち,
29,物,もの,もの,
30,人,人,ひと,
34,二,二,に,
42,三,三,さん,
48,時,時,とき,
51,十,十,じゅう,
55,方,方,ほう,
59,中,中,ちゅう,
62,五,五,ご,
63,所,ところ,ところ,
66,四,四,よん,
67,為,ため,ため,
70,自分,自分,じぶん,
71,日本,日本,にっぽん,
73,日,日,ひ,
81,千,千,せん,
87,二十,二十,にじゅう,
88,今,今,いま,
89,六,六,ろく,
95,場合,場合,ばあい,
96,前,前,まえ,
98,八,八,はち,
100,七,七,なな,
102,上,うえ,うえ,
109,家,家,いえ,
112,気,気,き,
114,九,九,きゅう,
117,内,うち,うち,
118,九百,九百,きゅうひゃく,
119,三十,三十,さんじゅう,
123,他,他,た／ほか,
124,子供,子ども,こども,
126,間,間,あいだ,
131,問題,問題,もんだい,
132,訳,わけ,わけ,
134,必要,必要,ひつよう,
135,度,度,ど,
138,手,手,て,
140,時間,時間,じかん,
144,人間,人間,にんげん,
148,万,万,まん,
150,関係,関係,かんけい,
151,話,話,はなし,
152,国,国,くに,
154,男,男,おとこ,
155,百,百,ひゃく,
156,社会,社会,しゃかい,
160,顔,顔,かお,
161,五十,五十,ごじゅう,
163,次,次,つぎ,
166,言葉,言葉,ことば,
170,子,子,こ,
171,四十,四十,よんじゅう,
172,意味,意味,いみ,
173,侭,まま,まま,
174,力,力,ちから,
177,心,心,こころ,
180,時代,時代,じだい,
182,世界,世界,せかい,
184,九十,九十,きゅうじゅう,
188,女,女,おんな,
189,会社,会社,かいしゃ,
190,声,声,こえ,
191,仕事,仕事,しごと,
194,共,とも,とも,
197,一人,一人,ひとり,
198,皆,みな,みな,
200,下,下,した,
201,数,数,すう,
203,六十,六十,ろくじゅう,
205,以上,以上,いじょう,
206,生活,生活,せいかつ,
207,会,会,かい,
209,二人,二人,ふたり,
210,八十,八十,はちじゅう,
211,頃,ころ,ころ,
212,女性,女性,じょせい,
216,先,先,さき,
217,法,法,ほう,
223,全て,すべて,すべて,
226,相手,相手,あいて,
228,本当,本当,ほんとう,
230,学校,学校,がっこう,
231,点,点,てん,
235,母,母,はは,
237,零,０,れい,
239,七十,七十,ななじゅう,
240,アメリカ,アメリカ,あめりか,
241,形,形,かたち,
244,方法,方法,ほうほう,
246,筈,はず,はず,
248,企業,企業,きぎょう,
249,情報,情報,じょうほう,
251,研究,研究,けんきゅう,
256,頭,頭,あたま,
258,通り,通り,とおり,
262,先生,先生,せんせい,
263,生,生,なま,
264,存在,存在,そんざい,
266,名,名,な,
269,経済,経済,けいざい,
272,大学,大学,だいがく,
273,父,父,ちち,
274,店,店,みせ,
275,別,別,べつ,
276,口,口,くち,
278,質問,質問,しつもん,
281,現在,現在,げんざい,
285,市,市,し,
288,中国,中国,ちゅうごく,
289,語,語,ご,
290,水,水,みず,
293,電話,電話,でんわ,
294,二千,二千,にせん,
298,気持ち,気持ち,きもち,
300,結果,結果,けっか,
301,主義,主義,しゅぎ,
302,側,側,がわ,
303,地,地,ち,
308,今日,今日,きょう,
309,教育,教育,きょういく,
311,県,県,けん,
314,道,道,みち,
315,トウキョウ,トウキョウ,とうきょう,
317,二百,二百,にひゃく,
320,殆ど,ほとんど,ほとんど,
321,山,山,やま,
325,風,風,かぜ,
328,場,場,ば,
329,人々,人々,ひとびと,
330,姿,姿,すがた,
332,一緒,一緒,いっしょ,
333,状態,状態,じょうたい,
334,自然,自然,しぜん,
338,部屋,部屋,へや,
339,部分,部分,ぶぶん,
340,実,実,じつ,
342,学,学,がく,
344,多く,多く,おおく,
346,活動,活動,かつどう,
348,事件,事件,じけん,
351,利用,利用,りよう,
352,一般,一般,いっぱん,
355,最初,最初,さいしょ,
356,実際,実際,じっさい,
358,地域,地域,ちいき,
360,理由,理由,りゆう,
361,説明,説明,せつめい,
362,身,身,み,
363,政治,政治,せいじ,
365,神,神,かみ,
366,場所,場所,ばしょ,
370,評価,評価,ひょうか,
371,普通,普通,ふつう,
373,音,音,おと,
376,図,図,ず,
384,内容,内容,ないよう,
385,条,条,じょう,
390,労働,労働,ろうどう,
391,自由,自由,じゆう,
392,外,外,そと,
392,違い,違い,ちがい,
395,当時,当時,とうじ,
397,自身,自身,じしん,
400,意識,意識,いしき,
401,事業,事業,じぎょう,
404,結婚,結婚,けっこん,
405,状況,状況,じょうきょう,
406,文化,文化,ぶんか,
407,使用,使用,しよう,
410,夜,夜,よる,
412,理解,理解,りかい,
413,戦争,戦争,せんそう,
413,制度,制度,せいど,
415,家族,家族,かぞく,
418,最近,最近,さいきん,
419,程度,程度,ていど,
424,八百,八百,はっぴゃく,
426,型,型,かた,
428,以外,以外,いがい,
428,個人,個人,こじん,
430,村,村,むら,
432,例,例,れい,
433,親,親,おや,
434,歴史,歴史,れきし,
436,中心,中心,ちゅうしん,
439,目的,目的,もくてき,
440,元,元,もと,
442,感,感,かん,
443,昭和,昭和,しょうわ,
446,環境,環境,かんきょう,
447,政府,政府,せいふ,
449,技術,技術,ぎじゅつ,
453,其々,それぞれ,それぞれ,
454,最後,最後,さいご,
456,行動,行動,こうどう,
458,色,色,いろ,
459,一方,一方,いっぽう,
460,基本,基本,きほん,
461,写真,写真,しゃしん,
462,感じ,感じ,かんじ,
466,事実,事実,じじつ,
467,名前,名前,なまえ,
468,運動,運動,うんどう,
469,足,足,あし,
471,昔,昔,むかし,
475,変化,変化,へんか,
476,保険,保険,ほけん,
477,地方,地方,ちほう,
478,世紀,世紀,せいき,
479,管理,管理,かんり,
482,新聞,新聞,しんぶん,
482,客,客,きゃく,
484,国民,国民,こくみん,
485,精神,精神,せいしん,
486,娘,娘,むすめ,
487,病院,病院,びょういん,
487,全体,全体,ぜんたい,
491,調査,調査,ちょうさ,
497,経験,経験,けいけん,
498,論,論,ろん,
499,効果,効果,こうか,
503,組織,組織,そしき,
504,経営,経営,けいえい,
506,行為,行為,こうい,
507,メール■mail,メール,めーる,
510,五百,五百,ごひゃく,
511,国家,国家,こっか,
512,責任,責任,せきにん,
515,自己,自己,じこ,
516,奴,奴,やつ,
517,影響,影響,えいきょう,
518,軍,軍,ぐん,
522,海,海,うみ,
527,三百,三百,さんびゃく,
529,商品,商品,しょうひん,
533,機能,機能,きのう,
534,夫,夫,おっと,
536,計画,計画,けいかく,
538,式,式,しき,
539,生産,生産,せいさん,
541,花,花,はな,
542,同時,同時,どうじ,
544,対象,対象,たいしょう,
545,辺り,あたり,あたり,
547,船,船,ふね,
548,男性,男性,だんせい,
555,価値,価値,かち,
556,思い,思い,おもい,
558,表現,表現,ひょうげん,
559,量,量,りょう,
561,テレビ,テレビ,てれび,
562,確認,確認,かくにん,
564,妻,妻,つま,
565,以前,以前,いぜん,
566,銀行,銀行,ぎんこう,
571,文字,文字,もじ,
573,木,木,き,
574,奥,奥,おく,
575,現実,現実,げんじつ,
577,判断,判断,はんだん,
578,都市,都市,とし,
579,近く,近く,ちかく,
579,川,川,かわ,
581,面,面,めん,
584,駄目,ダメ,だめ,
585,システム,システム,しすてむ,
586,時期,時期,じき,
587,機関,機関,きかん,
588,表,表,ひょう,
590,光,光,ひかり,
591,条件,条件,じょうけん,
594,役,役,やく,
595,率,率,りつ,
597,首,首,くび,
598,作品,作品,さくひん,
600,明治,明治,めいじ,
601,際,際,さい,
602,友達,友達,ともだち,
603,エド,江戸,えど,
604,市場,市場,しじょう,
610,幾,いく,いく,
611,積り,つもり,つもり,
612,以下,以下,いか,
612,決定,決定,けってい,
614,夢,夢,ゆめ,
619,酒,酒,さけ,
621,章,章,しょう,
623,天皇,天皇,てんのう,
624,心配,心配,しんぱい,
627,国際,国際,こくさい,
628,対応,対応,たいおう,
629,土地,土地,とち,
632,原因,原因,げんいん,
633,注意,注意,ちゅうい,
634,毎日,毎日,まいにち,
635,警察,警察,けいさつ,
636,人生,人生,じんせい,
637,逆,逆,ぎゃく,
639,死,死,し,
639,患者,患者,かんじゃ,
641,裁判,裁判,さいばん,
642,自ら,自ら,みずから,
644,期間,期間,きかん,
645,今度,今度,こんど,
647,紹介,紹介,しょうかい,
656,額,額,ひたい,
658,絶対,絶対,ぜったい,
661,意見,意見,いけん,
663,能力,能力,のうりょく,
664,家庭,家庭,かてい,
665,一体,一体,いったい,
666,指導,指導,しどう,
667,自動,自動,じどう,
668,委員,委員,いいん,
670,連絡,連絡,れんらく,
671,始め,はじめ,はじめ,
672,主人,主人,しゅじん,
678,構造,構造,こうぞう,
679,政策,政策,せいさく,
680,サービス,サービス,さーびす,
681,母親,母親,ははおや,
682,フランス,フランス,ふらんす,
684,治療,治療,ちりょう,
686,様子,様子,ようす,
687,限り,限り,かぎり,
689,料理,料理,りょうり,
690,無理,無理,むり,
692,胸,胸,むね,
694,反対,反対,はんたい,
704,参加,参加,さんか,
705,報告,報告,ほうこく,
706,薬,薬,くすり,
709,事務,事務,じむ,
709,回答,回答,かいとう,
713,不安,不安,ふあん,
715,ドイツ,ドイツ,どいつ,
716,相談,相談,そうだん,
718,一部,一部,いちぶ,
719,取り引き,取引,とりひき,
722,外国,外国,がいこく,
723,設定,設定,せってい,
724,耳,耳,みみ,
725,駅,駅,えき,
727,七百,七百,ななひゃく,
728,専門,専門,せんもん,
729,出品,出品,しゅっぴん,
730,病気,病気,びょうき,
735,契約,契約,けいやく,
736,開発,開発,かいはつ,
737,規定,規定,きてい,
740,支配,支配,しはい,
745,歌,歌,うた,
746,発生,発生,はっせい,
747,映画,映画,えいが,
748,六百,六百,ろっぴゃく,
750,四百,四百,よんひゃく,
754,無し,なし,なし,
756,食事,食事,しょくじ,
757,選択,選択,せんたく,
758,障害,障害,しょうがい,
759,結局,結局,けっきょく,
759,代表,代表,だいひょう,
765,少年,少年,しょうねん,
767,友人,友人,ゆうじん,
768,具体,具体,ぐたい,
769,局,局,きょく,
770,右,右,みぎ,
772,成長,成長,せいちょう,
773,人物,人物,じんぶつ,
773,身体,身体,しんたい,
775,息子,息子,むすこ,
776,位置,位置,いち,
779,ホテル,ホテル,ほてる,
780,立場,立場,たちば,
782,主,主,ぬし,
783,互い,互い,たがい,
784,勉強,勉強,べんきょう,
787,音楽,音楽,おんがく,
788,オオサカ,大阪,おおさか,
791,王,王,おう,
792,表示,表示,ひょうじ,
795,利益,利益,りえき,
796,科学,科学,かがく,
797,期待,期待,きたい,
797,作業,作業,さぎょう,
800,兄,兄,あに,
801,宗教,宗教,しゅうきょう,
805,常,常,つね,
806,落札,落札,らくさつ,
808,石,石,いし,
809,中央,中央,ちゅうおう,
809,主張,主張,しゅちょう,
809,項,項,こう,
814,段階,段階,だんかい,
816,犬,犬,いぬ,
817,保護,保護,ほご,
819,イギリス,イギリス,いぎりす,
821,学生,学生,がくせい,
821,種類,種類,しゅるい,
823,因み,ちなみ,ちなみ,
824,台,台,だい,
825,消費,消費,しょうひ,
830,周り,周り,まわり,
833,データ,データ,でーた,
834,所為,せい,せい,
835,比較,比較,ひかく,
836,高校,高校,こうこう,
840,危険,危険,きけん,
840,知識,知識,ちしき,
842,資本,資本,しほん,
843,生徒,生徒,せいと,
844,価格,価格,かかく,
845,税,税,ぜい,
846,現代,現代,げんだい,
849,億,億,おく,
850,発展,発展,はってん,
852,構成,構成,こうせい,
853,城,城,しろ,
854,方向,方向,ほうこう,
856,産業,産業,さんぎょう,
857,処理,処理,しょり,
858,発見,発見,はっけん,
859,同,同,どう,
860,行政,行政,ぎょうせい,
866,認識,認識,にんしき,
867,動き,動き,うごき,
868,考え,考え,かんがえ,
869,腰,腰,こし,
873,故,ゆえ,ゆえ,
875,基準,基準,きじゅん,
876,表情,表情,ひょうじょう,
878,街,街,まち,
878,購入,購入,こうにゅう,
880,小説,小説,しょうせつ,
880,年金,年金,ねんきん,
882,金融,金融,きんゆう,
883,文,文,ぶん,
883,権利,権利,けんり,
885,解決,解決,かいけつ,
886,紙,紙,かみ,
887,施設,施設,しせつ,
888,区,区,く,
889,英語,英語,えいご,
