Frequency ranking,Lexeme,Standard Orthography (in newspapers),Standard Reading (in Hiragana),Meaning
1,の,の,の,
2,て,て,て,
3,に,に,に,
4,は,は,は,
7,を,を,を,
8,が,が,が,
9,と,と,と,
11,も,も,も,
12,で,で,で,
18,か,か,か,
21,から,から,から,
36,ば,ば,ば,
37,や,や,や,
54,よ,よ,よ,
57,など,など,など,
58,ね,ね,ね,
60,まで,まで,まで,
61,へ,へ,へ,
68,だけ,だけ,だけ,
75,って,って,って,
92,な,な,な,
99,たり,たり,たり,
104,より,より,より,
108,けれど,けれど,けれど,
110,ながら,ながら,ながら,
127,し,し,し,
128,ほど,ほど,ほど,
141,くらい,くらい,くらい,
221,しか,しか,しか,
242,ばかり,ばかり,ばかり,
252,わ,わ,わ,
322,なんて,なんて,なんて,
385,こそ,こそ,こそ,
504,のみ,のみ,のみ,
514,さえ,さえ,さえ,
528,では,では,でわ,
535,ぞ,ぞ,ぞ,
616,なんか,なんか,なんか,
620,つつ,つつ,つつ,
675,とも,とも,とも,
934,ずつ,ずつ,ずつ,
1021,やら,やら,やら,
1193,い,い,い,
1402,かしら,かしら,かしら,
1465,ては,ては,てわ,
1479,しも,しも,しも,
1678,すら,すら,すら,
1745,ぜ,ぜ,ぜ,
1809,どころ,どころ,どころ,
1854,もの,もの,もの,
1869,ど,ど,ど,
1946,にて,にて,にて,
2031,きり,きり,きり,
2706,たって,たって,たって,
2727,なり,なり,なり,
4138,べい,べい,へい,
4997,じゃん,じゃん,じゃん,
5389,たら,たら,たら,
5466,のう,のう,のう,
6735,なんぞ,なんぞ,なんぞ,
7095,には,には,には,
8644,だに,だに,だに,
9098,しき,しき,しき,
9405,ちょ,ちょ,ちょ,
9928,さかい,さかい,さかい,
12285,かい,かい,かい,
13068,けん,けん,けん,
14153,をば,をば,をば,
16743,雖も,いえども,いえども,
17942,ばい,ばい,ばい,
18951,かし,かし,かし,
18951,のん,のん,のん,
19125,なんぞは,なんぞは,なんぞは,
19294,哉,かな,かな,
23216,とて,とて,とて,
24387,もが,もが,もが,
29169,就いて,,,
31286,ばや,バヤ,ばや,
45806,なと,,,
49232,くさ,草,くさ,
56342,がに,ガニ,がに,
59421,ぞい,沿い,ぞい,
67760,でん,電,でん,
