Frequency ranking,Lexeme,Standard Orthography (in newspapers),Standard Reading (in Hiragana),Meaning
31,其れ,それ,それ,
43,何,何,なに,
47,私■代名詞,わたし,わたし,
53,此れ,これ,これ,
80,彼,彼,かれ,
130,其処,そこ,そこ,
137,此処,ここ,ここ,
146,私,わたし,わたし,
147,貴方,あなた,あなた,
158,僕,僕,ぼく,
181,彼女,彼女,かのじょ,
185,誰,だれ,だれ,
186,何時,いつ,いつ,
187,何処,どこ,どこ,
220,俺,おれ,おれ,
316,何れ,いずれ,いずれ,
399,何方,どちら,どちら,
441,御前,お前,おまえ,
450,此方,こちら,こちら,
473,君■代名詞,君,きみ,
490,我々,我々,われわれ,
588,彼れ,あれ,あれ,
1056,我,我,われ,
1594,其方,そちら,そちら,
2262,彼奴,あいつ,あいつ,
2401,彼方此方,あちらこちら,あちらこちら,
2585,彼処,かしこ,かしこ,
2601,其れは,それは,それは,
2607,彼方,かなた,かなた,
2822,此奴,こいつ,こいつ,
3469,其奴,そいつ,そいつ,
5241,汝,汝,なんじ,
5682,然,然,さ,
6281,お主,おぬし,おぬし,
6789,麻呂,麻呂,まろ,
6823,己等,オイラ,おいら,
7289,御宅■代名詞,お宅,おたく,
7405,此れは,こりゃ,こりゃ,
7522,てまえ,手前,てまえ,
7712,貴様,貴様,きさま,
13457,我が輩,吾輩,わがはい,
14351,其,そ,そ,
14720,何々,何々,なになに,
14720,拙者,拙者,せっしゃ,
15245,朕,朕,ちん,
15703,私は,あたしゃ／わしゃ,あたしゃ／わしゃ,
16348,うら,うら,うら,
16474,貴殿,貴殿,きでん,
18778,吾人,吾人,ごじん,
22657,貴公,貴公,きこう,
23482,拙僧,拙僧,せっそう,
24074,何奴,ドイツ,どいつ,
24074,うぬ,汝,うぬ,
24717,其処此処,そこここ,そこここ,
26548,其処彼処,そこかしこ,そこかしこ,
26548,彼れは,,,
29659,貴下,貴下,きか,
30722,誰々,誰々,だれだれ,
31286,何処其処,どこそこ,どこそこ,
31891,誰某,だれそれ,だれそれ,
35236,何処何処,,,
36829,貴君,貴君,きくん,
37694,こちとら,こちとら,こちとら,
40698,其の方,その方,そのほう,
40698,貴兄,貴兄,きけい,
40698,其処許,,,
41842,うち,うち,うち,
51227,此処彼処,ここかしこ,ここかしこ,
51227,何時何時,いついつ,いついつ,
51227,いずく,何処,いずく,
56342,何くれ,何くれ,なにくれ,
56342,御辺,御辺,ごへん,
59421,那辺,なへん,なへん,
63094,余輩,余輩,よはい,
67760,わっち,ワッチ,わっち,
