Freq. Rank,Lexeme,Standard Orthography,Standard Reading,Meaning
35,的,的,てき,
40,年,年,ねん,
49,者,者,しゃ,
56,さん,さん,さん,
65,達,たち,たち,
77,等,等,とう,
78,後,あと,あと,
83,つ,つ,つ,
90,月,月,げつ,
93,目,目,め,
101,さ,さ,さ,
115,性,性,せい,
145,化,化,か,
167,円,円,えん,
192,分,分,ふん,
193,車,車,しゃ,
195,歳,歳,さい,
202,体,体,たい,
214,金,カネ,かね,
238,らしい,らしい,らしい,
261,パーセント,％,ぱーせんと,
267,代,代,だい,
270,氏,氏,し,
277,町,町,ちょう,
284,部,部,ぶ,
297,回,回,かい,
304,書,書,しょ,
337,ページ,ページ,ぺーじ,
354,ちゃん,ちゃん,ちゃん,
359,用,用,よう,
367,権,権,けん,
380,長,長,ちょう,
398,館,館,かん,
408,易い,やすい,やすい,
409,機,機,き,
422,箇月,カ月,かげつ,
425,社,社,しゃ,
448,君,君,くん,
457,号,号,ごう,
464,屋,屋,や,
480,線,線,せん,
481,員,員,いん,
493,期,期,き,
513,系,系,けい,
524,品,品,ひん,
554,寺,寺,じ,
569,党,党,とう,
576,年間,年間,ねんかん,
582,難い,がたい,がたい,
583,朝,朝,ちょう,
615,室,室,しつ,
618,官,官,かん,
638,士,士,し,
674,島,島,とう,
676,メートル,メートル,めーとる,
690,院,院,いん,
695,枚,枚,まい,
696,業,業,ぎょう,
697,省,省,しょう,
707,料,料,りょう,
726,種,種,しゅ,
751,派,派,は,
759,個,個,こ,
762,振り,ぶり,ぶり,
777,費,費,ひ,
813,階,階,かい,
817,番,番,ばん,
864,制,制,せい,
908,隊,隊,たい,
917,殿,殿,との,
919,毎,ごと,ごと,
923,科,科,か,
954,史,史,し,
964,末,末,すえ,
966,週間,週間,しゅうかん,
983,相,相,あい,
993,がる,がる,がる,
1036,病,病,びょう,
1053,症,症,しょう,
1062,教,教,きょう,
1121,公,公,こう,
1151,付き,付き,つく,
1156,観,観,かん,
1161,巻,巻,かん,
1165,倍,倍,ばい,
1185,質,質,しつ,
1216,状,状,さま,
1261,ドル,ドル,どる,
1270,界,界,かい,
1271,剤,剤,ざい,
1292,類,類,るい,
1300,キロ,キロ,きろ,
1336,割,割,わり,
1372,ぽい,ぽい,ぽい,
1424,庁,庁,ちょう,
1455,両,両,りょう,
1457,同士,同士,どうし,
1459,宮,宮,きゅう,
1461,堂,堂,どう,
1500,付け,ツケ,つけ,
1503,勝ち,がち,がち,
1516,鏡,鏡,きょう,
1519,位,位,い,
1531,兼ねる,兼ねる,かねる,
1590,団,団,だん,
1610,編,編,へん,
1636,歩,歩,ほ,
1686,センチメートル,cm,せんちめーとる,
1706,婦,婦,ふ,
1736,記,記,き,
1757,集,集,しゅう,
1762,過ぎ,過ぎ,すぎ,
1903,医,医,い,
1905,センチ,センチ,せんち,
1920,杯,杯,はい,
1961,洋,洋,よう,
1967,製,製,せい,
1989,林,林,りん,
1993,臭い,くさい,くさい,
2059,軒,軒,けん,
2062,グラム,グラム,ぐらむ,
2084,段,段,だん,
2135,刀,刀,とう,
2142,誌,誌,し,
2188,匹,匹,ひき,
2201,児,児,じ,
2204,大■大学,大-大学,だい,
2251,当たり,当たり,あたり,
2288,発,発,はつ,
2291,課,課,か,
2292,冊,冊,さつ,
2410,日間,日間,にちかん,
2425,流,流,りゅう,
2486,圏,圏,けん,
2492,署,署,しょ,
2573,伝,伝,でん,
2592,キロメートル,キロメートル,きろめーとる,
2596,族,族,ぞく,
2618,立,立,りつ,
2637,具,具,ぐ,
2642,トン,トン,とん,
2669,庫,庫,こ,
2704,産,産,さん,
2707,級,級,きゅう,
2779,秒,秒,びょう,
2790,限,限,げん,
2817,校,校,こう,
2829,財,財,ざい,
2991,艦,艦,かん,
3000,酸,酸,さん,
3016,っこ,っこ,っこ,
3025,源,源,げん,
3131,向き,向き,むき,
3197,向け,向け,むけ,
3219,志,志,し,
3254,建て,建て,だて,
3258,路,路,ろ,
3265,令,令,れい,
3278,帳,帳,ちょう,
3278,宛て,あて,あて,
3371,張り,張り,はり,
3404,済み,済み,ずみ,
3404,菜,菜,さい,
3442,視,視,し,
3520,余,余,よ,
3549,だらけ,だらけ,だらけ,
3584,管,管,かん,
3591,銭,銭,せん,
3643,祭,祭,さい,
3770,証,証,しょう,
3807,焼き,焼き,やき,
3933,安,安,あん,
3938,犯,犯,はん,
3956,回り,周り,まわり,
3984,放し,放し,はなす,
4051,樹,樹,じゅ,
4085,キログラム,キログラム,きろぐらむ,
4091,隻,隻,せき,
4138,刊,刊,かん,
4176,ミリメートル,ミリメートル,みりめーとる,
4182,ミリ,ミリ,みり,
4193,材,材,ざい,
4231,尺,尺,しゃく,
4236,録,録,ろく,
4281,切り,切り,きり,
4290,行き,行き,いき,
4306,連,連,れん,
4368,使,使,し,
4469,宗,宗,しゅう,
4505,泊,泊,はく,
4509,切れ,切れ,きれ,
4519,箇国,カ国,かこく,
4537,丁目,丁目,ちょうめ,
4567,兎,ウサギ,うさぎ,
4666,領,領,りょう,
4706,庵,庵,あん,
4802,沿い,沿い,そい,
4826,尊,尊,みこと,
4832,カロリー,カロリー,かろりー,
4974,ミリリットル,ミリリットル,みりりっとる,
4985,めく,めく,めく,
4997,灯,灯,とう,
5007,峰,峰,ほう,
5023,勢,勢,せい,
5042,ごと,ごと,こと,
5049,売り,売り,うり,
5097,分間,分間,ぶんけん,
5165,荘,荘,しょう,
5175,邸,邸,てい,
5184,等々,等々,とうとう,
5184,肢,肢,し,
5206,卿,卿,きょう,
5241,江,江,こう,
5241,ｃｃ,ＣＣ,しーしー,
5259,合い,合い,あう,
5347,込み,込み,こみ,
5389,連れ,連れ,つれる,
5389,展,展,てん,
5435,合,合,ごう,
5445,棟,棟,とう,
5458,痛,痛,つう,
5510,持ち,持ち,もつ,
5510,警,警,けい,
5671,乗,乗,じょう,
5856,出,出,で,
5856,支,支,し,
5926,桁,ケタ,けた,
5973,審,審,しん,
6016,リットル,リットル,りっとる,
6049,っ子,っ子,っこ,
6049,司,司,し,
6093,砲,砲,ほう,
6234,簿,簿,ぼ,
6243,舎,舎,しゃ,
6290,遍,遍,へん,
6313,寸,寸,すん,
6313,裁,裁,さい,
6376,越し,越し,ごし,
6504,周,周,しゅう,
6571,架,架,か,
6645,歴,歴,れき,
6645,掛かり,掛かり,かかる,
6661,書き,書き,かく,
6712,紀,紀,き,
6735,閣,閣,かく,
6823,補,補,ほ,
6957,浴,浴,よく,
7069,郎,郎,ろう,
7069,インチ,インチ,いんち,
7095,調,調,ちょう,
7112,卒,卒,そつ,
7260,周年,周年,しゅうねん,
7356,掛け,かけ,かけ,
7405,升,升,しょう,
7544,紛れ,まぎれ,まぎれ,
7544,球,球,きゅう,
7577,垂れ,垂れ,たれ,
7643,マイル,マイル,まいる,
7769,アール,アール,あーる,
7821,符,符,ふ,
7847,受,受,うけ,
7908,騎,騎,き,
7932,キロカロリー,キロカロリー,きろかろりー,
7954,ミリグラム,ミリグラム,みりぐらむ,
8027,ポンド,ポンド,ぽんど,
8027,営,営,えい,
8052,漬け,漬け,つける,
8074,債,債,さい,
8102,丼,どんぶり,どんぶり,
8137,箇条,箇条,かじょう,
8279,労,労,ろう,
8341,メガバイト,メガバイト,めがばいと,
8515,交じり,まじり,まじり,
8515,遣い,遣い,つかい,
8552,がかる,がかる,がかる,
8676,亭,亭,てい,
8734,槽,槽,そう,
8833,圧,圧,あつ,
8891,寄り,寄り,より,
8948,守,守,（の）かみ,
8980,則,則,のり,
8980,ヘクタール,ヘクタール,へくたーる,
9026,把,把,わ,
9026,ばむ,ばむ,ばむ,
9026,揚げ,揚げ,あげる,
9065,打,打,だ,
9136,置き,置き,おく,
9327,陵,陵,りょう,
9369,入れ,入れ,いれる,
9548,錠,錠,じょう,
9548,給,給,きゅう,
9586,勝,勝,しょう,
9586,斑,ぶち,ぶち,
