Frequency ranking,Lexeme,Standard Orthography (in newspapers),Standard Reading (in Hiragana),Meaning
10,為る,する,する,to do
13,居る,いる,いる,
14,有る,ある,ある,
17,言う,いう,いう,
23,成る,なる,なる,
38,来る,来る,くる,
39,思う,思う,おもう,
41,行く,いく,いく,
44,見る,見る,みる,
46,出来る,できる,できる,
64,拠る,よる,よる,
79,仕舞う,しまう,しまう,
84,分かる,わかる,わかる,
85,持つ,持つ,もつ,
86,考える,考える,かんがえる,
91,遣る,やる,やる,
94,出る,出る,でる,
97,就く,つく,つく,
106,取る,とる,とる,
107,聞く,聞く,きく,
111,下さる,下さる,くださる,
113,知る,知る,しる,
116,呉れる,くれる,くれる,
120,入る,入る,はいる,
121,置く,置く／おく,おく,
122,使う,使う,つかう,
133,対する,対する,たいする,
142,於く,おく,おく,
143,出す,出す,だす,
153,作る,つくる,つくる,
159,行う,行う,おこなう,
162,知れる,知れる,しれる,
168,書く,書く,かく,
169,付ける,つける,つける,
175,貰う,もらう,もらう,
176,教える,教える,おしえる,
178,掛ける,かける,かける,
183,得る,得る,える,
196,見える,見える,みえる,
204,入れる,入れる,いれる,
214,受ける,受ける,うける,
224,付く,つく,つく,
232,違う,違う,ちがう,
233,始める,始める,はじめる,
234,呼ぶ,呼ぶ,よぶ,
236,上げる,あげる,あげる,
243,過ぎる,すぎる,すぎる,
255,感ずる,感ずる,かんずる,
257,続ける,続ける,つづける,
260,食べる,食べる,たべる,
279,掛かる,かかる,かかる,
283,変わる,変わる,かわる,
287,読む,読む,よむ,
291,買う,買う,かう,
296,生きる,生きる,いきる,
306,切る,切る,きる,
312,立つ,立つ,たつ,
323,帰る,帰る,かえる,
324,話す,話す,はなす,
336,飲む,飲む,のむ,
341,示す,示す,しめす,
345,関する,関する,かんする,
347,与える,与える,あたえる,
364,頂く,いただく,いただく,
368,戻る,戻る,もどる,
372,開く,開く,ひらく,
374,死ぬ,死ぬ,しぬ,
375,従う,従う,したがう,
377,止める,やめる,やめる,
378,願う,願う,ねがう,
387,歩く,歩く,あるく,
388,待つ,待つ,まつ,
394,求める,求める,もとめる,
416,認める,認める,みとめる,
417,会う,会う,あう,
423,続く,続く,つづく,
435,向かう,向かう,むかう,
437,生まれる,生まれる,うまれる,
444,見せる,見せる,みせる,
451,当たる,当たる,あたる,
452,終わる,終わる,おわる,
463,乗る,乗る,のる,
465,残る,残る,のこる,
470,述べる,述べる,のべる,
489,御座る,ござる,ござる,
491,立てる,立てる,たてる,
500,答える,答える,こたえる,
502,働く,働く,はたらく,
508,送る,送る,おくる,
509,始まる,始まる,はじまる,
519,含む,含む,ふくむ,
521,起こる,起こる,おこる,
523,関わる,かかわる,かかわる,
526,忘れる,忘れる,わすれる,
531,済む,すむ,すむ,
532,笑う,笑う,わらう,
537,為さる,なさる,なさる,
540,変える,変える,かえる,
543,引く,引く,ひく,
549,売る,売る,うる,
550,進む,進む,すすむ,
551,渡る,渡る,わたる,
553,選ぶ,選ぶ,えらぶ,
563,走る,走る,はしる,
567,現われる,現れる,あらわれる,
570,住む,住む,すむ,
592,伝える,伝える,つたえる,
593,動く,動く,うごく,
596,決める,決める,きめる,
605,勧める,勧める,すすめる,
