N4 Vocabulary,Character
"上がる (agaru): to rise, to ascend",上がる
"挨拶 (aisatsu): greeting, salutation",挨拶
"味 (aji): flavor, taste",味
"赤ちゃん (akachan): baby, infant",赤ちゃん
"赤ん坊 (akanbou): baby, infant",赤ん坊
"案内 (annai): guidance, leading (the way)",案内
"安心 (anshin): relief, peace of mind",安心
安全 (anzen): safety,安全
"浅い (asai): shallow, superficial",浅い
足音 (ashioto): sound of footsteps,足音
遊び (asobi): playing,遊び
"集る (atsumaru): to gather, to collect, to assemble",集る
"集める (atsumeru): to collect, to assemble, to gather",集める
"合う (au): to fit, to match, to suit",合う
謝る (ayamaru): to apologize,謝る
"倍 (bai): twice, double , times",倍
番組 (bangumi): program (e.g. TV),番組
"場所 (basho): place, location",場所
"別 (betsu): different, another",別
"美術館 (bijutsukan): art gallery, art museum",美術館
びっくり (bikkuri): to be surprised,びっくり
"僕 (boku): I, me",僕
貿易 (boueki): trade (foreign),貿易
部長 (buchou): head of a section or department,部長
ぶどう (budou): grape,ぶどう
文学 (bungaku): literature,文学
"文化 (bunka): culture, civilization",文化
文法 (bunpou): grammar,文法
血 (chi): blood,血
"力 (chikara): force, strength, vigor",力
地理 (chiri): geography,地理
中学校 (chuugakkou): junior high school,中学校
"注意 (chuui): caution, being careful",注意
注射 (chuusha): injection,注射
駐車場 (chuushajou): parking lot,駐車場
"大分 (daibu): considerably, greatly",大分
大学生 (daigakusei): university student,大学生
"大事 (daiji): important, serious, crucial",大事
"大体 (daitai): general, substantially",大体
"だから (dakara): so, therefore",だから
"駄目 (dame): no good, useless",駄目
暖房 (danbou): (indoor) heating,暖房
"男性 (dansei): man, male",男性
電報 (denpou): telegram,電報
電灯 (dentou): electric light,電灯
"どんどん (dondon): rapidly, continuously",どんどん
"泥棒 (dorobou): thief, burglar, robber, theft",泥棒
動物園 (doubutsuen): zoo,動物園
"道具 (dougu): tool, implement",道具
"枝 (eda): branch, bough",枝
"遠慮 (enryo): constraint, restraint, modesty",遠慮
"選ぶ (erabu): to choose, to select",選ぶ
不便 (fuben): inconvenience,不便
"増える (fueru): to increase, to multiply",増える
"深い (fukai): deep, profound",深い
"復習 (fukushuu): review, revision",復習
"複雑 (fukuzatsu): complex, complicated",複雑
"踏む (fumu): to step on, to tread on",踏む
"船 (fune): ship, boat",船
布団 (futon): futon,布団
太る (futoru): to grow fat,太る
"普通 (futsuu): general, ordinary, usual",普通
"頑張る (ganbaru): to hang on, to do one’s best",頑張る
"原因 (gen’in): cause, origin, source",原因
"下宿 (geshuku): boarding, lodging",下宿
"技術 (gijutsu): technology, engineering",技術
"ご馳走 (gochisou): feast, treating (someone)",ご馳走
"塵 (gomi): rubbish, trash, garbage",塵
"ご覧になる (goran ni naru): to see, to look, to watch",ご覧になる
ご存じ (gozonji): knowing,ご存じ
ご主人 (goshujin): your husband,ご主人
"具合 (guai): condition, state, health",具合
"軍人 (gunjin): military personnel, soldier",軍人
葉 (ha): leaf,葉
"拝見 (haiken): seeing, look at",拝見
歯医者 (haisha): dentist,歯医者
"始める (hajimeru): to start, to begin",始める
"はっきり (hakkiri): clearly, plainly",はっきり
"運ぶ (hakobu): to carry, to transport",運ぶ
花見 (hanami): cherry blossom viewing,花見
"反対 (hantai): opposition, resistance",反対
払う (harau): to pay,払う
発音 (hatsuon): pronunciation,発音
"林 (hayashi): woods, forest",林
"恥ずかしい (hazukashii): shy, embarrassed",恥ずかしい
"変 (hen): strange, odd, peculiar",変
"返事 (henji): reply, answer, response",返事
"酷い (hidoi): cruel, heartless",酷い
冷える (hieru): to grow cold,冷える
"ひげ (hige): mustache, beard",ひげ
"非常に (hijou ni): very, extremely",非常に
"光 (hikari): light, beam",光
"光る (hikaru): to shine, to glitter",光る
引き出し (hikidashi): drawer,引き出し
"引き出す (hikidasu): to pull out, to take out",引き出す
引っ越す (hikkosu): to move (house),引っ越す
"飛行場 (hikoujou): airfield, airport",飛行場
"開く (hiraku): to open, to undo",開く
"昼間 (hiruma): daytime, during the day",昼間
拾う (hirou): to pick up,拾う
昼休み (hiruyasumi): lunch break,昼休み
久しぶり (hisashiburi): it’s been a while,久しぶり
"褒める (homeru): to praise, to admire",褒める
翻訳 (honyaku): translation,翻訳
星 (hoshi): star,星
"ほとんど (hotondo): mostly, nearly",ほとんど
法律 (houritsu): law,法律
"一度 (ichido): once, one time",一度
"医学 (igaku): medical science, medicine",医学
"苛める (ijimeru): to bully, to torment",苛める
"以上 (ijou): not less than, beyond",以上
"以下 (ika): not exceeding, below",以下
"意見 (iken): opinion, view, comment",意見
"生きる (ikiru): to live, to exist",生きる
"以内 (inai): within, inside of",以内
"田舎 (inaka): rural area, countryside",田舎
"祈る (inoru): to pray, to wish",祈る
"一杯 (ippai): full, a lot",一杯
"石 (ishi): stone, gem, jewel",石
"一生懸命 (isshoukenmei): very hard, with utmost effort",一生懸命
"急ぐ (isogu): to hurry, to rush",急ぐ
"糸 (ito): thread, yarn, string",糸
"邪魔 (jama): hindrance, obstacle",邪魔
字 (ji): character (i.e. kanji),字
"時代 (jidai): period, epoch, era, age",時代
"事故 (jiko): accident, incident, trouble",事故
事務所 (jimusho): office,事務所
神社 (jinja): Shinto shrine,神社
人口 (jinkou): population,人口
地震 (jishin): earthquake,地震
辞典 (jiten): dictionary,辞典
"自由 (jiyuu): freedom, liberty",自由
"女性 (josei): woman, female",女性
"準備 (junbi): preparation, set up",準備
"十分 (juubun): plenty, enough, sufficient",十分
住所 (juusho): address,住所
"壁 (kabe): wall, partition",壁
"課長 (kachou): section manager, section chief",課長
"帰り (kaeri): return, coming back",帰り
"変える (kaeru): to change, to alter",変える
科学 (kagaku): science,科学
"鏡 (kagami): mirror, looking-glass",鏡
"海岸 (kaigan): coast, beach",海岸
"会議 (kaigi): meeting, conference",会議
会議室 (kaigishitsu): conference room,会議室
"会場 (kaijou): assembly hall, meeting place",会場
会話 (kaiwa): conversation,会話
"火事 (kaji): fire, conflagration",火事
"掛ける (kakeru): to hang, to hoist, to raise",掛ける
"格好 (kakkou): shape, form, figure",格好
"構う (kamau): to mind, to care about",構う
髪 (kami): hair (on the head),髪
"噛む (kamu): to bite, to chew, to gnaw",噛む
家内 (kanai): (my) wife,家内
"必ず (kanarazu): always, without exception",必ず
"悲しい (kanashii): sad, sorrowful",悲しい
金持ち (kanemochi): rich person,金持ち
考える (kangaeru): to think about,考える
"関係 (kankei): relation, relationship, connection",関係
"彼女 (kanojo): she, her",彼女
"簡単 (kantan): simple, easy, uncomplicated",簡単
"顔 (kao): face, look",顔
"彼 (kare): he, him",彼
"彼ら (karera): they, them",彼ら
"形 (katachi): form, shape, figure",形
"硬い (katai): hard, solid, tough",硬い
"片付ける (katazukeru): to tidy up, to put in order",片付ける
"勝つ (katsu): to win, to gain victory",勝つ
乾く (kawaku): to get dry,乾く
"代わり (kawari): substitute, replacement",代わり
"変わる (kawaru): to change, to be transformed",変わる
通う (kayou): to go back and forth between,通う
"飾る (kazaru): to decorate, to ornament",飾る
"毛 (ke): hair, fur, wool",毛
"怪我 (kega): injury, hurt",怪我
"計画 (keikaku): plan, project",計画
経験 (keiken): experience,経験
警察 (keisatsu): police,警察
"経済 (keizai): economics, economy",経済
"見物 (kenbutsu): sightseeing, watching",見物
"喧嘩 (kenka): quarrel, brawl, fight",喧嘩
"研究 (kenkyuu): study, research, investigation",研究
研究室 (kenkyuushitsu): laboratory,研究室
消しゴム (keshogomu): eraser,消しゴム
"景色 (keshiki): scenery, landscape",景色
"気 (ki): spirit, mind, heart",気
"厳しい (kibishii): severe, strict, rigid",厳しい
"気分 (kibun): feeling, mood",気分
"機会 (kikai): chance, opportunity",機会
"危険 (kiken): danger, peril, hazard",危険
"聞こえる (kikoeru): to be heard, to be audible",聞こえる
"決る (kimaru): to be decided, to be settled",決る
"決める (kimeru): to decide, to choose",決める
"君 (kimi): you, buddy, pal",君
"気持ち (kimochi): feeling, sensation, mood",気持ち
近所 (kinjo): neighborhood,近所
季節 (kisetsu): season,季節
汽車 (kisha): train,汽車
"規則 (kisoku): rule, regulation",規則
"きっと: surely, undoubtedly",きっと:
"心 (kokoro): mind, heart, spirit",心
"国内 (kokunai): internal, domestic",国内
国際 (kokusai): international,国際
"細かい (komakai): small, fine, minute",細かい
米 (kome): rice,米
"込む (komu): to be crowded, to be packed",込む
"今度 (kondo): this time, next time",今度
"この間 (kono aida): the other day, lately",この間
"この頃 (kono goro): recently, nowadays",この頃
"今夜 (kon’ya): this evening, tonight",今夜
これから (kore kara): after this,これから
"故障 (koshou): breakdown, out of order",故障
"答え (kotae): answer, reply, response",答え
"事 (koto): thing, matter",事
"小鳥 (kotori): small bird, songbird",小鳥
"校長 (kouchou): principal, headmaster",校長
"講堂 (koudou): auditorium, lecture hall",講堂
"郊外 (kougai): suburb, outskirts",郊外
講義 (kougi): lecture,講義
工業 (kougyou): (manufacturing) industry,工業
"工場 (koujou): factory, plant, mill",工場
"高校 (koukou): senior high school, high school",高校
高校生 (koukousei): senior high school student,高校生
"公務員 (koumuin): government worker, public servant",公務員
"交通 (koutsuu): traffic, transportation",交通
壊れる (kowareru): to be broken,壊れる
"壊す (kowasu): to break, to destroy",壊す
首 (kubi): neck,首
雲 (kumo): cloud,雲
比べる (kuraberu): to compare,比べる
"暮れる (kureru): to get dark, to grow dark",暮れる
"草 (kusa): grass, weed, herb",草
"空気 (kuuki): air, atmosphere",空気
空港 (kuukou): airport,空港
"怖い (kowai): scary, frightening",怖い
"客 (kyaku): guest, visitor",客
"教育 (kyouiku): education, schooling",教育
教会 (kyoukai): church,教会
"興味 (kyoumi): interest, curiosity",興味
"競争 (kyousou): competition, contest",競争
"急 (kyuu): sudden, abrupt, unexpected",急
急行 (kyuukou): moving at high speed,急行
間違える (machigaeru): to make a mistake,間違える
"参る (mairu): to go, to come (humble)",参る
"真面目 (majime): seriousness, earnestness",真面目
"負ける (makeru): to lose, to be defeated",負ける
"漫画 (manga): cartoon, comic",漫画
間に合う (maniau): to be in time for,間に合う
"真中 (mannaka): middle, center",真中
"または (matawa): or, otherwise",または
"周り (mawari): surroundings, neighbourhood",周り
"回る (mawaru): to turn, to revolve",回る
まず (mazu): first of all,まず
"召し上がる (meshiagaru): to eat, to drink",召し上がる
"珍しい (mezurashii): unusual, rare, curious",珍しい
"見える (mieru): to be seen, to be in sight",見える
"港 (minato): harbor, port",港
見つかる (mitsukaru): to be found,見つかる
"見つける (mitsukeru): to discover, to find",見つける
湖 (mizuumi): lake,湖
"もちろん (mochiron): of course, certainly",もちろん
"戻る (modoru): to return, to go back",戻る
森 (mori): forest,森
"もし (moshi): if, in case",もし
"申し上げる (moushiageru): to say, to tell (humble)",申し上げる
"申す (mousu): to say, to be called (humble)",申す
"もうすぐ (mousugu): soon, shortly",もうすぐ
迎える (mukaeru): to go out to meet,迎える
"向かう (mukau): to face, to go towards",向かう
"昔 (mukashi): olden days, former",昔
"無理 (muri): unreasonable, impossible",無理
"虫 (mushi): insect, bug",虫
息子 (musuko): son,息子
"娘 (musume): (my) daughter, girl",娘
"投げる (nageru): to throw, to cast away",投げる
"中々 (nakanaka): very, considerably",中々
"泣く (naku): to cry, to weep",泣く
"無くなる (nakunaru): to be lost, to be missing",無くなる
亡くなる (nakunaru): to die,亡くなる
治る (naoru): to be cured,治る
直る (naoru): to get mended,直る
"直す (naosu): to fix, to repair",直す
慣れる (nareru): to get used to,慣れる
"鳴る (naru): to sound, to ring",鳴る
"なるほど (naru hodo): I see!, That’s right!",なるほど
寝坊 (nebou): sleeping in late,寝坊
"値段 (nedan): price, cost",値段
"眠い (nemui): sleepy, drowsy",眠い
眠る (nemuru): to sleep,眠る
"熱心 (nesshin): zeal, enthusiasm",熱心
熱 (netsu): heat,熱
苦い (nigai): bitter,苦い
"逃げる (nigeru): to escape, to run away",逃げる
二階建て (nikaidate): two-storied building,二階建て
"日記 (nikki): diary, journal",日記
