No.,Expression,Reading,Meaning
2,正月,しょうがつ,new years day (january)
3,正確,せいかく,exact、correct
4,正しい,ただしい,right、correct
5,月末,げつまつ,end of the month
6,来月,らいげつ,next month
7,今月,こんげつ,this month
8,年末,ねんまつ,end of the year
9,家,いえ,home
10,家族,かぞく,family
11,全員,ぜんいん,all （family members）
12,移る,うつる,to move
13,特別,とくべつ,especially
14,付ける,つける,"to attach, to join, to add、to　place"
15,点ける,つける,to turn on
16,料理,りょうり,cooking、cuisine
17,出す,だす,"to　take out, to get out, to reveal, to serve"
18,主婦,しゅふ,housewife
19,家事,かじ,housework
20,必要,ひつよう,necessary
21,揃って,そろって,all　together
22,ゆっくり,ゆっくり,relaxing、leisurely
23,理由,りゆう,reason
24,主人,しゅじん,husband
25,準備,じゅんび,preparation
26,場合,ばあい,case
27,伝統的,でんとうてき,traditional
28,行事,ぎょうじ,rituals、events、activities
29,客,きゃく,visitor、guest
30,面倒,めんどう,troubles
31,贅沢な,ぜいたくな,elegant、luxurious
32,親戚,しんせき,relatives
33,賑やか,にぎやか,lively、bustling
34,家中,いえじゅう,throughout　the　house
35,掃除する,そうじする,clean　the house
36,大切にする,たいせつにする,pay attention to
37,生活,せいかつ,living、lifestyle
38,場所,ばしょ,place
39,利用法,りようほう,way of use、usage
40,結婚式,けっこんしき,weeding
41,祝い,いわい,congratulation、celebration、festival
42,宴会,えんかい,party、banquet
43,レストラン,レストラン,restaurant
44,喫茶店,きっさてん,coffee shop
45,というより,というより,rather than、instead of
46,個室,こしつ,private room
47,寝室,しんしつ,bedroom
48,今年,ことし,this year
49,予定,よてい,schedule、plan
50,はっきり,はっきり,definitely
51,決まっていない,きまっていない,"it hasn’t been decided, someone hasn’t decided"
52,市内,しない,within the city
53,海外,かいがい,abroad
54,ほどの,ほどの,sufficient for …
55,お宅,おたく,"your house, your home, your family"
56,オタク,オタク,"geek, enthusiast"
57,うち,うち,my family
58,昔の通りに,むかしのとおりに,as before
59,大掃除,おおそうじ,spring cleaning
60,餅をつく,もちをつく,pound rice cakes
61,母,はは,mother
62,アパと,アパと,apartment
63,門,もん,gate
64,床の間,とこのま,alcove (where art flowers are displayed)
65,都会,とかい,city
66,田舎,いなか,countryside
67,親,おや,parents
68,退屈,たいくつ,dull、boredom
69,面倒くさい,めんどうくさい,bothersome、nuisance
70,御馳走,ごちそう,"feast, treating (someone)"
71,元日,がんじつ,new years day
72,神社,じんじゃ,shrine
73,辛い,つらい,"painful, bitter, difficult, harsh, tough"
74,辛い,からい,"spicy, hot"
75,初詣で,はつもうで,first shrine visit of new year
76,気持ちがいい,きもちがいい,"nice feeling, refreshing"
77,ふうん,ふうん,hmm…
78,のかわりに,のかわりに,in place of (me)
79,薄い,うすい,"thin, weak"
80,歌,うた,a song
81,歌う,うたう,to sing
82,うち,うち,home; house; my place
83,生まれる,うまれる,to be born
84,海,うみ,"sea, beach"
85,売る,うる,to sell (v.t.)
86,うるさい,うるさい,noisy; annoying
87,上着,うわぎ,"coat, jacket"
88,絵,え,a painting; a picture; a drawing
89,映画,えいが,"movie, film"
90,映画館,えいがかん,"movie theater, cinema"
91,英語,えいご,English (language)
92,ええ,ええ,yes
93,駅,えき,station
94,エレベーター,エレベーター,elevator
95,～円,～えん,Yen
96,鉛筆,えんぴつ,pencil
97,お～,お～,honorable ~ (honorific)
98,美味しい,おいしい,"delicious, tasty"
99,多い,おおい,many; there are a lot
100,大きい,おおきい,"big, large"
101,大きな,おおきな,big
102,大勢,おおぜい,great number of people
103,お母さん,おかあさん,mother (formal)
104,お菓子,おかし,"confections, sweets, snack"
105,お金,おかね,money
106,起きる,おきる,"to get up (e.g., from sleeping); to happen"
107,置く,おく,to put; to lay; to place
108,奥さん,おくさん,(someone else's) wife (hon.)
109,お酒,おさけ,sake; alcohol
110,お皿,おさら,"plate, dish"
111,伯父; 叔父さん,おじさん,"uncle, middle-aged man"
112,おじいさん,おじいさん,"grandfather, male senior citizen"
113,教える,おしえる,"to teach, to inform, to instruct"
114,押す,おす,"to push, to press, to stamp (e.g., a passport)"
115,遅い,おそい,slow; (to be) late
116,お茶,おちゃ,(green) tea
117,お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)"
118,お父さん,おとうさん,father (formal)
119,弟,おとうと,younger brother
120,男,おとこ,"man, male"
121,男の子,おとこのこ,boy
122,一昨日,おととい,the day before yesterday
123,おととし,おととし,year before last
124,大人,おとな,adult
125,お腹,おなか,stomach
126,同じ,おなじ,"same, identical"
127,お兄さん,おにいさん,(someone else's) older brother (formal)
128,お姉さん,おねえさん,older sister (formal)
129,伯母さん; 叔母さん,おばさん,aunt
130,おばあさん,おばあさん,"grandmother, female senior-citizen"
131,お風呂,おふろ,a bath
132,お弁当,おべんとう,a boxed lunch
133,覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize"
134,おまわりさん,おまわりさん,policeman (friendly term)
135,重い,おもい,heavy; serious
136,面白い,おもしろい,"interesting, amusing"
137,泳ぐ,およぐ,to swim
138,降りる,おりる,to get off
139,終る,おわる,"to finish, to close"
140,音楽,おんがく,Music
141,女,おんな,"woman, female"
142,女の子,おんなのこ,girl
143,～回,～かい,counter for occurrences (~ times)
144,～階,～かい,counter for stories (floors) of a building
145,外国,がいこく,foreign country; abroad
146,外国人,がいこくじん,foreigner
147,会社,かいしゃ,"company, corporation"
148,階段,かいだん,stairs
149,買い物,かいもの,shopping
150,買う,かう,to buy
151,返す,かえす,to return something
152,帰る,かえる,"to go back, to go home, to return"
153,顔,かお,face (body part)
154,かかる,かかる,"it takes (amount of time, money) (v.i.)"
155,鍵,かぎ,a lock; a key
156,書く,かく,to write
157,学生,がくせい,student
158,～か月,～かげつ,(number of) months
159,掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)"
160,かける,かける,"to dial/call (e.g., phone); to sit down"
161,傘,かさ,"umbrella, parasol"
162,貸す,かす,to lend
163,風,かぜ,"wind, breeze"
164,風邪,かぜ,"cold, flu"
165,方,かた,-- honorific form for 人 (ひと) --; way of doing
166,家族,かぞく,"family, members of a family"
167,片仮名,かたかな,katakana
168,～月,～がつ,month of year
169,学校,がっこう,a school
170,カップ,カップ,cup
171,家庭,かてい,home; family
172,角,かど,"corner (e.g., desk, pavement)"
173,かばん,かばん,"bag, basket"
174,花瓶,かびん,(flower) vase
175,かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)"
176,紙,かみ,paper
177,カメラ,カメラ,camera
178,火曜日,かようび,Tuesday
179,辛い,からい,hot and spicy; salty
180,体,からだ,body; health
181,借りる,かりる,"to borrow, to owe"
182,～がる,～がる,feel
