No.,Adjectives,Reading,Reading,Meaning,Type
1,行動的,こうどうてき,kōdō-teki,active,na-adjective
2,積極的,せっきょくてき,sekkyokuteki,aggressive,na-adjective
3,意欲的,いよくてき,iyokuteki,ambitious,na-adjective
4,不安になる,ふあんになる,fuan ni naru,anxious,i-adjective
5,センスがいい,センスがいい,sensu ga ii,artistic,phrase
6,怒りっぽい,おこりっぽい,okorippoi,bad-tempered,i-adjective
7,つまらない,つまらない,tsumaranai,boring,i-adjective
8,勇敢,ゆうかん,yūkan,brave,na-adjective
9,落ち着いた,おちついた,ochitsuita,calm,phrase
10,慎重,しんちょう,shinchō,careful,na-adjective
11,カリスマ性がある,カリスマせいがある,karisumasei ga aru,charismatic,phrase
12,かっこいい,かっこいい,kakkoii,cool,i-adjective
13,独創的,どくそうてき,dokusōteki,creative,na-adjective
14,勤勉,きんべん,kinben,diligent,na-adjective
15,のんき,のんき,nonki,easygoing,na-adjective
16,感情的,かんじょうてき,kanjōteki,emotional,none
17,活気のある,かっきのある,kakki no aru,energetic,phrase
18,熱心,ねっしん,nesshin,enthusiastic,na-adjective
19,外向的,がいこうてき,gaikōteki,extroverted,na-adjective
20,フレンドリー,フレンドリー,furendorii,friendly,na-adjective
21,面白い,おもしろい,omoshiroi,funny,i-adjective
22,心大きい,こころおおきい,kokoro ōkii,generous,phrase
23,勤勉,きんべん,kinben,hard-working,na-adjective
24,誠実,せいじつ,seijitsu,honest,na-adjective
25,面白い,おもしろい,omoshiroi,humorous,i-adjective
26,優柔不断,ゆうじゅうふだん,yūjū fudan,indecisive,na-adjective
27,利口,りこう,rikō,intelligent,na-adjective
28,内向的,ないこうてき,naikōteki,introverted,na-adjective
29,親切,しんせつ,shinsetsu,kind,na-adjective
30,尻が重い,しりがおもい,shiri ga omoi,lazy,expression
31,気分屋,きぶんや,kibunya,moody,noun
32,無邪気,むじゃき,mujaki,naive,na-adjective
33,腕白,わんぱく,wanpaku,naughty,na-adjective
34,優しい,やさしい,yasashii,nice,i-adjective
35,忍耐強い,にんたいづよい,nintaizuyoi,patient,i-adjective
36,丁寧,ていねい,teinei,polite,na-adjective
37,静か,しずか,shizuka,quiet,na-adjective
38,頼もしい,たのもしい,tanomoshii,reliable,i-adjective
39,ロマンチック,ロマンチック,romanchikku,romantic,noun
40,自己チュー,じこチュー,jikochū,selfish,na-adjective
41,まじめ,まじめ,majime,serious,na-adjective
42,恥ずかしい,はずかしい,hazukashii,shy,i-adjective
43,たわいない,たわいない,tawainai,silly,i-adjective
44,賢い,かしこい,kashikoi,smart,i-adjective
45,社交的,しゃこうてき,shakōteki,social,na-adjective
46,強い,つよい,tsuyoi,strong,i-adjective
47,おろか,おろか,oroka,stupid,na-adjective
48,血あり涙あり,ちありなみだあり,chi ari namida ari,sympathetic,phrase
49,思いやりのある,おもいやりのある,omoiyari no aru,thoughtful,phrase
50,物分かりのいい,ものわかりのいい,monowakari no ii,understanding,phrase
