Nihongo,English
00:00,-
*このまま字幕ONがおすすめです😎*,-
00:04,00:04
Izumi(Iz) :今日はベランダとリビングをさらに快適にしようかなと思い...,Izumi (Iz): Today we will improve our veranda and living room
00:10,00:10
日よけに使うパラソルと,Iz: We need a sun umbrella
00:12,00:12
リビングで食事しやすいように,Iz: And a meal-friendly table height
00:15,00:18
ちょっと背の高いテーブルをIKEAで注文しました,Iz: Ordered in Ikea
00:20,00:20
それが今から届くので,Iz: Coming Soon
00:23,00:22
トリと一緒に組み立てていこうかなと思います,Iz: Let's Build Together
00:27,00:35
Iz: こんにちわ,Tori & Izumi: Oey! So they brought our furniture!
00:29,00:42
配達員さん: こんにちわ IKEAです,Tori (Tr): Goodbye old table!
00:33,00:45
配達員さん: ありがとうございます Iz: いつもありがとうございます,Iz: I advise everyone to this box knife
00:35,00:47
Tr: yeah 届きましたー！,Iz: For those who like us often buy on Amazon
00:42,00:50
Tr&Iz: 机さようならー,Iz: Do viewers have no Amazon?
00:45,00:53
Iz: この段ボールカッターおすすめです,Tr: Not everywhere
00:48,00:59
Amazonを良く使う人は...,Tr: The color is darker than I thought
00:50,01:03
あ！ロシアとウクライナはあんまりAmazon使わないか,Iz: Really
00:53,01:04
Tr: そうだね 使わないね...,Iz: All is well Tr: Big one!
00:59,01:11
Tr: 思ったよりちょっと暗めのグレーだね,"Tr: Well done, looks good"
01:03,01:14
Iz: 本当だね,Tr: Only legs to attach?
01:06,01:17
Tr: ギリギリ...大きいね(笑),Tr: Don't need nuts and bolts?
01:11,01:21
Tr: いいね しっかりしてる ここに脚を入れるだけだよね？,Tr: OMTAТKSAM called
01:17,01:23
Iz: 確かにネジも何も要らない 楽じゃん,Iz: Omtansksam?
01:21,01:28
Tr: OMTANKSAMだよ Iz: オムタンクサムだっけ？,Tr: Nothing to do
01:24,01:31
オムタンクサムっていうシリーズのね,Tr: Nothing needed
01:28,01:33
Tr: 脚を入れるだけだね (それ以外)何も要らない,Iz: Come on then at a pace!
01:33,01:35
Iz: じゃあ ちゃっちゃと入れちゃいますか,Iz: I can do it without help
01:35,01:39
もう1人で全部終わるかも(笑),"Tr: You wanted to do DIY, here you are!"
01:39,01:42
Tr: DIYチャンネルにしたかったんでしょ？(笑),Iz: This is not DIY
01:42,01:44
Iz: 全然DIYじゃないよ(笑),Tr: IKEA DIY
01:45,01:47
Tr: IKEA DIY(笑),Iz: Ikea has already done everything for us.
01:47,01:53
Iz: すべてIKEAがやってくれる...,Iz: I hope you find it easier to work at this table.
01:54,01:59
Iz: トリの自宅ワークが大変だったもんね...,Iz: Now it’s not comfortable working sitting on the couch
01:59,02:04
ソファとテーブルとの高さが合わなくて...,Tr: I don't think this is the perfect solution for my workplace.
02:03,02:12
Tr: これでよくなるか正直わかんないけどね...,Iz: You're putting a computer stand on the table right now to raise it higher
02:09,02:18
Iz:おい(笑),Tr: The old table was too low
02:14,02:21
Tr: この台を使って仕事してるんだけど,Iz: Working on the couch isn’t a good idea.
02:18,02:24
前のテーブルが低すぎて...,"Tr: Therefore, this is not to solve the problem of my workplace, but for the dining table, the solution"
02:21,02:32
Iz: そもそもソファで仕事するの良くないよね,Iz: It was uncomfortable to eat at the old table
02:24,02:36
Tr: これは私の仕事な解決ではなく...,Tr: Am I doing something wrong?
02:28,02:42
食べる時に低すぎるからね,Iz: What is the problem?
02:32,02:49
Iz: 行儀が悪い感じになるよね,Iz: You twisted the other way
02:36,02:56
Tr: 何か私やり方間違っている？ Iz: あっているよ,"Iz: Alright, don't fall away"
02:43,03:01
Iz: なんで？,Tori & Izumi: Done in 5 minutes!
02:46,03:03
えっ？,Iz: There is no intrigue in this video
02:49,03:07
Iz: 逆に回してたね(笑),Iz: How do you like it?
02:57,03:10
Iz: 全然抜けない グラつかない Tr: OK?,Tr: Very different from what it was!
02:59,03:13
Tr&Iz: いいね,Iz: It will be convenient to eat at this table!
03:01,03:17
Iz: 5分！,Tr: How do you like it? Iz: Great
03:04,03:19
なんと見応えのない動画でしょう...(笑),Iz: Let's test
03:08,03:23
Iz: どう？,Iz: The color is dark
03:10,03:25
Tr: いい！全然違うね,"Tr: The color ... it’s also cold gray, and the sofa has a warm tone."
03:14,03:31
Iz: ご飯食べやすい！いい！,"Tr: But with a carpet in one gamut, it’ll do"
03:18,03:36
(ランチョンマット)置こう,Tr: I like
03:23,03:38
Iz: 色がちょっと濃いね Tr: そうだね...,"Tr: Finally, that Japanese-style table has disappeared"
03:27,03:41
Iz: これ冷たいグレーで... ソファがあったかいグレーだからね...,Tr: This table was too Japanese for our home.
03:30,03:46
床のラグには合うね,Iz: I won’t fight these corners anymore
03:36,03:51
Tr: でも きれいきれい,Iz: How do you like it? Tr: Great! Ideal height
03:39,03:56
"やっと""和""がなくなったね(笑)",Tr: Eating will also be more convenient. No need to bend over
03:42,04:01
Iz: こいつの和テイストが？(笑) Tr: そう (笑),Iz: Videos for Tori's House will become even more beautiful
03:46,04:04
Iz: もうこの角でね スネを打たなくていいんだ,Tr: But that Japanese charm will be gone
03:51,04:07
Iz: どうですか Tr: いい感じ ちょうどいい高さ,Iz: In the style of the table? That yes
03:56,04:09
食べるの楽になるね 屈まなくていい,Iz: It’s not often that you see such a combination of a high table and sofa
03:59,04:13
Iz: 犬食いしなくていいね,"Tr: Right. Unusual height, 550mm high"
04:01,04:20
Iz: TorisHouseの動画もお洒落に撮れそうだね Tr: 完全にヨーロッパだけどね,Tr: And not a tall dining table
04:06,04:22
Iz: スタイル的にね... たしかに,Iz: And not a low table tall
04:09,04:25
Iz: なかなかないよね 天板が高いのとソファー合わせるのって,Iz: It’s convenient that you can slip your knees
04:14,04:33
Tr: そうだね 絶妙な高さだよね,Tr: I'm satisfied
04:16,04:36
Iz: 60cm?? Tr: 550mmだね スゴい絶妙な...,Tr: come on do the umbrella now
04:20,04:39
ダイニングテーブルでもない... Iz: ローテーブルでもなく...,"Iz: Yes, for sure"
04:25,04:41
Iz: ソファから膝がしっかり入るのはいいね Tr: いい感じ,Iz: Is this the base for the umbrella? Tr: Probably
04:33,04:44
Tr: 素晴らしい,Tr: We do our best to improve the balcony
04:35,04:49
Tr: 採用 Iz: 採用！,Tr: It is impossible to be on the balcony for lunch during the summer due to the heat
04:37,04:53
Tr: パラソルもしよう Iz: そうだね パラソルだ次は,Iz: That's for sure
04:41,04:56
これはパラソルの土台だよね？,"Iz: Even for BBQ, it's too hot"
04:44,04:58
Tr: 夏のバルコニーの活用をできるだけしたいね...(笑),Tr: A lot more than I expected
04:50,05:01
昼はもう外に出れないぐらい暑いから パラソルが必要...,Tr: Too Big
04:55,05:05
Iz: BBQとかするとなったら無理だもんね...,Tr: And this is the umbrella itself
04:58,05:13
Tr: 思った以上に大きい(笑),Tr: Beige?
05:01,05:16
マジでデカいんだけど！,Tr: Beautiful color Iz: All in neutral tones
05:06,05:20
Tr: これがパラソルですね,Iz: Tori color chose
05:13,05:24
Tr: アイボリーかな？ Iz: いいねぇ,Tr: I like
05:17,05:29
Iz: グレーで攻めるねぇ...!(笑),Iz: Ikea has nice furniture
05:20,05:31
Iz: 選んだのトリだからね 流石 Tr: うん いい感じ,Tr: Is this an advertisement for Ikea?
05:25,05:35
Iz: グレートーンで統一されていますね,Tr: Will it fit on our balcony?
05:29,05:38
Iz: IKEAいいなぁ！,Tr: Our balcony is not so big
05:32,05:41
Tr: 広告ですか？(笑),Iz: Will fit ...
05:35,05:43
Tr: バルコニー に入るか心配だよね,"Tr: It looks small, but 2 meters in size"
05:37,05:46
うちのバルコニー そんなに大きくはないからさ...,Iz: Diameter? Tr: Yes
05:44,05:50
Tr: こう見えても2mだからな... Iz: 直径？,Iz: Samso? Oh sure. 2 meters
05:47,05:54
Tr: うん,Iz: Do you need to attach anything? Just paste?
05:49,05:58
Iz: サムソ？ Tr: SAMSO わかんない(笑),Iz: No instructions even
05:52,06:00
Iz: 本当だ 2m,Tr: Something will come out
05:54,06:02
Iz: 組み立てはないのかな？ Tr: 挿すだけ？,"Iz: ""You can not explain it."""
05:58,06:06
Iz: 説明書もないから... Tr: なんとかなるさって感じ？,Tr: The ceiling!
06:02,06:11
Iz: 言わなくてもわかるだろってね(笑),Tr: You're risky
06:07,06:18
Tr: あー天井！,Tr: The difficulties of living in a small apartment
06:11,06:21
Tr: 攻めるね...！(笑),Tr: Upstairs will not pass!
06:15,06:30
Tr: (笑),"Tr: Oh, instruction?"
06:18,06:33
狭い家のあるある,Iz: Instruction for the base. The umbrella itself can be used with different bases
06:21,06:38
通らないよね,Iz: We need bolts here ..
06:31,06:41
Tr: 説明書あった？,Iz: Water cannot be poured here for weight
06:34,06:43
Iz: 多分上のパラソルは他の商品にも対応できるから... Tr: たしかに,Iz: Will spill through the holes
06:38,06:46
Iz: あっ ネジがあるのか...,"Tr: Ah, why do you need sand?"
06:41,06:48
Iz: 水は入れないね ねじ穴から漏れちゃうね,Tr: Need to buy sand
06:46,06:50
Tr: だから砂か... 買わないとダメだね(笑),"Iz: Today the wind is strong, so we’ll remove it later"
06:50,06:54
Iz: 風強いから... 片付けるとして一旦仮で作っておこう,"Iz: When you live in a city, you have to buy sand"
06:55,07:00
Iz: 都会には砂はなかなかないよね... Tr: たしかに,Iz: Very simple design
07:00,07:02
Iz: シンプルでいいね パーツが少なくてすげー作りやすい,Iz: Very easy to do.
07:07,07:07
Tr: マジで思った以上に大きいな... この土台 邪魔にならないかな,Tr: Really big base
07:12,07:10
Iz: 足をおける場所になっていいかなって思った...(笑),Tr: Will she interfere?
07:18,07:14
Iz: テーブルを改造してさ ここにテーブルを付けたくない？,Iz: You can use it as a footrest
07:22,07:17
Tr: なるほどね Iz: そしてここに足を置く 良くない？,"Iz: You can do DIY, to attach a little table around the umbrella"
07:26,07:24
Tr: そういうの別で売っているけどね(笑),Iz: How do you like the idea?
07:30,07:26
Iz: 改造するより買えよって感じだよね(笑),"Tr: If you wanted a table with an umbrella in the middle, then these are sold"
07:38,07:31
Iz: ほぼ終わり 簡単,Iz: Why DIY if you can buy
07:51,07:38
Tr: お猿さんみたい(笑) Iz: だってこれ取り出せないからさ...,Iz: I'm almost done Tr: Fast
08:00,07:50
Iz: 全然違うパーツ入れてたら面白いね(笑),Tr: You're like a monkey
08:04,07:54
"次のページに""これだけは入れないで下さい""って 書いてあったりして(笑)","Iz: If you throw this item here, you can’t get it anymore."
08:08,07:59
土を入れたとして...,"Iz: If I put the wrong part at all, it would be funny"
08:12,08:02
Tr: ハマった いい,"Iz: ""NEVER throw THIS part in a pipe"""
08:14,08:08
傘デカい(笑),Iz: Imagine we were filling sand
08:17,08:12
トトロみたいだよ(笑),Tr: Great
08:25,08:14
Tr: 良い ！良い！ 手前側に曲げて！,Tr: The umbrella is huge!
08:29,08:16
Iz: この角度しかできないんだね Tr: そうなんだ...,Tr: You're like Totoro
08:33,08:20
Iz: ここでロックされてる Tr: 決まっているんだ,Tr: Very good
08:36,08:25
Iz: 空間ができたね Tr: 可愛いかも！,Tr: Bend over here
08:40,08:29
Iz: 落ち着くわ,Iz: The only way to tilt it turns out
08:42,08:31
Tr: 土台が大きいのは ちょっと気持ち悪いなぁ,Iz: You cannot control the angle of inclination
08:47,08:37
Iz: ここにハーブでも飾ろうぜ,Iz: It turned out personal space! Tr: Cute
08:50,08:40
Tr: あ！確かに頭いいね ちっちゃいハーブとかいいかも,Iz: It's calm here!
08:53,08:42
Tr&Iz: いいじゃん,Tr: I still don't like this big base
08:55,08:48
Iz: そして千切って料理に入れる(笑),Iz: Let's decorate her with herbs
09:02,08:49
Iz: これで夏も行けるね...！,"Tr: Exactly, you are a genius!"
09:05,08:52
Tr: めっちゃ良い空間だな！ Iz: めっちゃ良い！,Tr: Great!
09:07,08:56
Iz: 晩ご飯何にする？,Iz: You can eat herbs right away!
09:10,09:01
Tr: サーモンアボカド丼？ Iz: 良いね,Iz: We can survive the summer heat!
09:13,09:04
最高,Iz: I really like it!
09:38,09:07
