Kanji,Reading,Meaning
一,いち,one
二,に,two
三,さん,three
四,よん,four
五,ご,five
六,ろく,six
七,なな,seven
八,はち,eight
九,きゅう,nine
十,じゅう,ten
百,ひゃく,hundred
千,せん,thousand
上,うえ,above
下,した,below
人,ひと,person
入,はいる,enter
日,ひ,day
月,がつ,month
火,ひ,fire
木,き,tree
金,おかね,money
土,つち,"earth, soil"
子,こ,child
口,くち,mouth
手,て,hand
目,め,eye
耳,みみ,ear
足,あし,foot
女,おんあ,woman
男,おとこ,man
母,はは,mother
父,ちち,father
小,ちさい,small
大,おおきい,big
山,やま,mountain
川,かわ,river
出,だす,go out
来,くる,come
行,いく,go
立,たつ,stand
見,みる,see
聞,きく,hear
食,しょく,eat
飲,のむ,drink
学,まなぶ,"learn, study"
校,こう,school
先,せい,prior
生,せい,"life, birth"
右,みぎ,right
左,ひだり,left
中,なか,inside
外,そと,outside
東,ひがし,east
西,にし,west
南,みなみ,south
北,きた,north
前,まえ,before
後,あと,after
少,すくし,a few
多,おおい,many
天,てん,sky
雨,あめ,rain
電,でん,electricity
気,き,"spirit, weather"
花,はな,flower
言,いう,say
語,ご,language
読,よむ,read
話,はなす,speak
空,そら,sky
安,やすい,cheap
友,とも,friend
高,たかい,tall
今,いま,now
会,あう,meet
万,まん,10 thousand
分,ぶん,"part, segment"
白,しろ,white
円,えん,en
何,なに,what
古,ふるい,old
間,あいだ,space(between)
書,かく,write
時,とき,time
買,かう,buy
毎,まい,every
年,とし,year
午,ごご,afternoon (pm)
半,はん,"half, semi"
社,しゃ,"shrine, company"
新,しん,new
週,しゅう,week
長,ながい,long
本,ほん,book
休,やすむ,"rest, holiday"
魚,さかな,fish
名,なまえ,name
車,くるま,car
駅,えき,station
道,みち,"road, path"
店,みせ,store
国,くに,country
